"",BBNZ1.Q.DE.Y.G.0063.A,BBNZ1.Q.DE.Y.G.0063.A_FLAGS
"",Germany / National accounts / Origin of GDP / Financial and insurance activities / At current prices / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:37:48,
1991-01,17.403,
1991-04,17.718,
1991-07,17.960,
1991-10,18.824,
1992-01,17.188,
1992-04,17.330,
1992-07,18.037,
1992-10,19.756,
1993-01,19.731,
1993-04,20.099,
1993-07,20.537,
1993-10,21.364,
1994-01,21.030,
1994-04,20.612,
1994-07,20.269,
1994-10,19.574,
1995-01,18.857,
1995-04,20.026,
1995-07,20.538,
1995-10,21.584,
1996-01,21.564,
1996-04,21.276,
1996-07,21.243,
1996-10,21.995,
1997-01,22.751,
1997-04,22.706,
1997-07,22.508,
1997-10,21.290,
1998-01,21.025,
1998-04,21.003,
1998-07,21.534,
1998-10,22.926,
1999-01,25.321,
1999-04,26.828,
1999-07,25.913,
1999-10,23.152,
2000-01,24.036,
2000-04,21.674,
2000-07,19.828,
2000-10,18.909,
2001-01,20.363,
2001-04,20.601,
2001-07,21.646,
2001-10,25.285,
2002-01,23.349,
2002-04,22.968,
2002-07,23.777,
2002-10,24.867,
2003-01,24.387,
2003-04,24.100,
2003-07,24.645,
2003-10,25.992,
2004-01,26.833,
2004-04,27.998,
2004-07,28.286,
2004-10,27.878,
2005-01,27.514,
2005-04,26.982,
2005-07,27.140,
2005-10,27.508,
2006-01,27.329,
2006-04,27.538,
2006-07,27.375,
2006-10,26.622,
2007-01,26.115,
2007-04,26.210,
2007-07,25.712,
2007-10,25.109,
2008-01,24.266,
2008-04,23.506,
2008-07,22.917,
2008-10,23.837,
2009-01,25.049,
2009-04,25.883,
2009-07,26.501,
2009-10,26.615,
2010-01,26.546,
2010-04,26.667,
2010-07,26.456,
2010-10,25.866,
2011-01,25.418,
2011-04,24.831,
2011-07,24.936,
2011-10,25.291,
2012-01,25.265,
2012-04,25.624,
2012-07,25.861,
2012-10,25.717,
2013-01,25.518,
2013-04,25.641,
2013-07,25.962,
2013-10,26.108,
2014-01,26.251,
2014-04,25.981,
2014-07,26.166,
2014-10,25.937,
