"",BBK01.OEAC30Q,BBK01.OEAC30Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:47,
2002-01,0.805,
2002-04,0.792,
2002-07,0.762,
2002-10,0.724,
2003-01,0.718,
2003-04,0.721,
2003-07,0.745,
2003-10,0.672,
2004-01,0.682,
2004-04,0.610,
2004-07,0.611,
2004-10,0.531,
2005-01,0.564,
2005-04,0.562,
2005-07,0.542,
2005-10,0.483,
2006-01,0.519,
2006-04,0.523,
2006-07,0.513,
2006-10,0.463,
2007-01,0.497,
2007-04,0.516,
2007-07,0.517,
2007-10,0.469,
2008-01,0.509,
2008-04,0.524,
2008-07,0.494,
2008-10,0.459,
2009-01,0.463,
2009-04,0.482,
2009-07,0.459,
2009-10,0.418,
2010-01,0.448,
2010-04,0.433,
2010-07,0.379,
2010-10,0.376,
2011-01,0.394,
2011-04,0.390,
2011-07,0.340,
2011-10,0.316,
2012-01,0.333,
2012-04,0.327,
2012-07,0.306,
2012-10,0.294,
2013-01,0.318,
2013-04,0.313,
2013-07,0.298,
2013-10,0.290,
2014-01,0.312,
2014-04,0.310,
2014-07,0.299,
