"",BBSF2.M.1.P.00000.DAC01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:17,
2009-01,73,
2009-02,-26,
2009-03,-57,
2009-04,-2,
2009-05,38,
2009-06,70,
2009-07,154,
2009-08,-1,
2009-09,-14,
2009-10,91,
2009-11,72,
2009-12,48,
2010-01,226,
2010-02,-33,
2010-03,-71,
2010-04,125,
2010-05,29,
2010-06,-258,
2010-07,55,
2010-08,449,
2010-09,-498,
2010-10,81,
2010-11,97,
2010-12,75,
2011-01,105,
2011-02,-24,
2011-03,17,
2011-04,44,
2011-05,-45,
2011-06,-85,
2011-07,-108,
2011-08,-101,
2011-09,-68,
2011-10,-118,
2011-11,-100,
2011-12,-199,
2012-01,-105,
2012-02,-87,
2012-03,-97,
2012-04,-14,
2012-05,6,
2012-06,-586,
2012-07,-15,
2012-08,-11,
2012-09,-13,
2012-10,-188,
2012-11,67,
2012-12,32,
2013-01,44,
2013-02,-56,
2013-03,38,
2013-04,24,
2013-05,68,
2013-06,-256,
2013-07,82,
2013-08,63,
2013-09,13,
2013-10,240,
2013-11,28,
2013-12,95,
2014-01,308,
2014-02,-399,
2014-03,160,
2014-04,116,
2014-05,131,
2014-06,133,
2014-07,69,
2014-08,108,
2014-09,183,
2014-10,172,
2014-11,192,
