"",BBSF2.M.1.P.00000.AKT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:31,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,307,
1993-05,294,
1993-06,301,
1993-07,524,
1993-08,683,
1993-09,633,
1993-10,1158,
1993-11,1323,
1993-12,1482,
1994-01,1995,
1994-02,1523,
1994-03,1169,
1994-04,793,
1994-05,999,
1994-06,700,
1994-07,599,
1994-08,573,
1994-09,495,
1994-10,479,
1994-11,500,
1994-12,460,
1995-01,451,
1995-02,586,
1995-03,547,
1995-04,396,
1995-05,439,
1995-06,339,
1995-07,451,
1995-08,603,
1995-09,637,
1995-10,889,
1995-11,554,
1995-12,449,
1996-01,913,
1996-02,940,
1996-03,610,
1996-04,982,
1996-05,987,
1996-06,687,
1996-07,680,
1996-08,707,
1996-09,826,
1996-10,830,
1996-11,1237,
1996-12,934,
1997-01,2952,
1997-02,2717,
1997-03,2305,
1997-04,1689,
1997-05,1566,
1997-06,2239,
1997-07,2946,
1997-08,1996,
1997-09,2426,
1997-10,1826,
1997-11,1499,
1997-12,1327,
1998-01,2336,
1998-02,1983,
1998-03,3394,
1998-04,3386,
1998-05,3179,
1998-06,2629,
1998-07,3325,
1998-08,2670,
1998-09,2750,
1998-10,2164,
1998-11,2704,
1998-12,2428,
1999-01,4454,
1999-02,3355,
1999-03,3776,
1999-04,3769,
1999-05,2838,
1999-06,3312,
1999-07,4313,
1999-08,3301,
1999-09,3193,
1999-10,3520,
1999-11,5669,
1999-12,5504,
2000-01,11445,
2000-02,11348,
2000-03,10046,
2000-04,7806,
2000-05,7024,
2000-06,5009,
2000-07,6665,
2000-08,6605,
2000-09,6487,
2000-10,7217,
2000-11,7299,
2000-12,5900,
2001-01,7327,
2001-02,4518,
2001-03,3663,
2001-04,4395,
2001-05,4015,
2001-06,3258,
2001-07,4728,
2001-08,3027,
2001-09,2871,
2001-10,3671,
2001-11,4433,
2001-12,3914,
2002-01,5134,
2002-02,4683,
2002-03,4372,
2002-04,4555,
2002-05,4738,
2002-06,4739,
2002-07,5109,
2002-08,4023,
2002-09,4228,
2002-10,5660,
2002-11,6022,
2002-12,3981,
2003-01,4537,
2003-02,3289,
2003-03,4527,
2003-04,4800,
2003-05,3830,
2003-06,4387,
2003-07,4750,
2003-08,5080,
2003-09,4585,
2003-10,4423,
2003-11,3387,
2003-12,2922,
2004-01,4306,
2004-02,2900,
2004-03,4153,
2004-04,2832,
2004-05,3166,
2004-06,2379,
2004-07,2282,
2004-08,1907,
2004-09,1874,
2004-10,2772,
2004-11,3260,
2004-12,3028,
2005-01,3151,
2005-02,3002,
2005-03,2408,
2005-04,2678,
2005-05,2335,
2005-06,4562,
2005-07,3675,
2005-08,3677,
2005-09,3843,
2005-10,3552,
2005-11,4405,
2005-12,4007,
2006-01,5466,
2006-02,5259,
2006-03,4115,
2006-04,3328,
2006-05,5538,
2006-06,3512,
2006-07,3344,
2006-08,2621,
2006-09,3157,
2006-10,3342,
2006-11,3709,
2006-12,3581,
2007-01,4399,
2007-02,4566,
2007-03,4779,
2007-04,3918,
2007-05,6703,
2007-06,4275,
2007-07,5649,
2007-08,4225,
2007-09,3778,
2007-10,4489,
2007-11,4756,
2007-12,3407,
2008-01,4620,
2008-02,2774,
2008-03,2956,
2008-04,11707,
2008-05,5717,
2008-06,3772,
2008-07,2527,
2008-08,1806,
2008-09,2588,
2008-10,2390,
2008-11,2622,
2008-12,3258,
2009-01,6704,
2009-02,1551,
2009-03,1442,
2009-04,7596,
2009-05,7647,
2009-06,1887,
2009-07,2570,
2009-08,1845,
2009-09,2063,
2009-10,2171,
2009-11,2156,
2009-12,3472,
2010-01,2565,
2010-02,3058,
2010-03,2377,
2010-04,8577,
2010-05,17808,
2010-06,4256,
2010-07,1885,
2010-08,2102,
2010-09,1820,
2010-10,2589,
2010-11,3860,
2010-12,4548,
2011-01,4299,
2011-02,3225,
2011-03,4329,
2011-04,5141,
2011-05,7460,
2011-06,5055,
2011-07,5822,
2011-08,3796,
2011-09,1977,
2011-10,2482,
2011-11,2318,
2011-12,2096,
2012-01,2457,
2012-02,1908,
2012-03,2356,
2012-04,2688,
2012-05,5296,
2012-06,2355,
2012-07,2185,
2012-08,1804,
2012-09,1801,
2012-10,1814,
2012-11,2076,
2012-12,2370,
2013-01,2589,
2013-02,1960,
2013-03,1795,
2013-04,1718,
2013-05,3450,
2013-06,2377,
2013-07,3131,
2013-08,1842,
2013-09,2240,
2013-10,2807,
2013-11,3410,
2013-12,3032,
2014-01,3053,
2014-02,2983,
2014-03,2571,
2014-04,2311,
2014-05,2937,
2014-06,2550,
2014-07,2166,
2014-08,2590,
2014-09,2051,
2014-10,3290,
2014-11,2636,
