"",BBK01.OEAD27M,BBK01.OEAD27M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:17,
2002-01,0.115,
2002-04,0.159,
2002-07,0.148,
2002-10,0.128,
2003-01,0.106,
2003-04,0.104,
2003-07,0.096,
2003-10,0.086,
2004-01,0.085,
2004-04,0.080,
2004-07,0.083,
2004-10,0.070,
2005-01,0.080,
2005-04,0.080,
2005-07,0.077,
2005-10,0.077,
2006-01,0.075,
2006-04,0.074,
2006-07,0.085,
2006-10,0.087,
2007-01,0.080,
2007-04,0.110,
2007-07,0.085,
2007-10,0.080,
2008-01,0.081,
2008-04,0.078,
2008-07,0.097,
2008-10,0.089,
2009-01,0.111,
2009-04,0.120,
2009-07,0.127,
2009-10,0.110,
2010-01,0.140,
2010-04,0.171,
2010-07,0.175,
2010-10,0.182,
2011-01,0.167,
2011-04,0.156,
2011-07,0.152,
2011-10,0.167,
2012-01,0.162,
2012-04,0.169,
2012-07,0.186,
2012-10,0.186,
2013-01,0.181,
2013-04,0.159,
2013-07,0.151,
2013-10,0.149,
2014-01,0.142,
2014-04,0.136,
2014-07,0.135,
