"",BBK01.OEAC48R,BBK01.OEAC48R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:46,
2002-01,0.299,
2002-04,0.292,
2002-07,0.295,
2002-10,0.308,
2003-01,0.476,
2003-04,0.469,
2003-07,0.438,
2003-10,0.485,
2004-01,0.468,
2004-04,0.459,
2004-07,0.461,
2004-10,0.463,
2005-01,0.446,
2005-04,0.434,
2005-07,0.427,
2005-10,0.413,
2006-01,0.495,
2006-04,0.506,
2006-07,0.511,
2006-10,0.545,
2007-01,0.540,
2007-04,0.430,
2007-07,0.472,
2007-10,0.500,
2008-01,0.478,
2008-04,0.491,
2008-07,0.497,
2008-10,0.618,
2009-01,0.693,
2009-04,0.780,
2009-07,0.817,
2009-10,0.817,
2010-01,0.996,
2010-04,1.046,
2010-07,1.173,
2010-10,1.239,
2011-01,1.275,
2011-04,1.334,
2011-07,1.363,
2011-10,1.518,
2012-01,1.571,
2012-04,1.653,
2012-07,1.796,
2012-10,1.892,
2013-01,1.940,
2013-04,2.006,
2013-07,2.144,
2013-10,2.302,
2014-01,2.353,
2014-04,2.260,
2014-07,2.306,
