"",BBK01.OEXB21U,BBK01.OEXB21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:29,
2002-01,0.573,
2002-04,0.614,
2002-07,0.634,
2002-10,0.661,
2003-01,0.682,
2003-04,0.680,
2003-07,0.716,
2003-10,0.753,
2004-01,0.750,
2004-04,0.762,
2004-07,0.805,
2004-10,0.819,
2005-01,0.815,
2005-04,0.798,
2005-07,0.803,
2005-10,0.845,
2006-01,0.874,
2006-04,0.867,
2006-07,0.865,
2006-10,0.866,
2007-01,0.850,
2007-04,0.849,
2007-07,0.834,
2007-10,0.785,
2008-01,0.772,
2008-04,0.759,
2008-07,0.752,
2008-10,0.737,
2009-01,0.728,
2009-04,0.724,
2009-07,0.706,
2009-10,0.708,
2010-01,0.689,
2010-04,0.666,
2010-07,0.652,
2010-10,0.653,
2011-01,0.650,
2011-04,0.657,
2011-07,0.648,
2011-10,0.628,
2012-01,0.615,
2012-04,0.592,
2012-07,0.585,
2012-10,0.571,
2013-01,0.854,
2013-04,0.845,
2013-07,0.838,
2013-10,0.832,
2014-01,0.841,
2014-04,0.838,
2014-07,0.853,
