"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.FR.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.FR.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / France,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:01,
2009-09,56772,
2009-10,55598,
2009-11,56307,
2009-12,57378,
2010-01,58973,
2010-02,59614,
2010-03,60607,
2010-04,62191,
2010-05,63031,
2010-06,64655,
2010-07,65205,
2010-08,67715,
2010-09,67719,
2010-10,68316,
2010-11,68156,
2010-12,67140,
2011-01,65834,
2011-02,66606,
2011-03,66602,
2011-04,66895,
2011-05,67986,
2011-06,67837,
2011-07,70340,
2011-08,71338,
2011-09,71573,
2011-10,71489,
2011-11,69760,
2011-12,73208,
2012-01,75169,
2012-02,79072,
2012-03,80945,
2012-04,81360,
2012-05,84410,
2012-06,84188,
2012-07,87002,
2012-08,88533,
2012-09,88044,
2012-10,88904,
2012-11,89320,
2012-12,89856,
2013-01,88750,
2013-02,89403,
2013-03,90746,
2013-04,92571,
2013-05,91299,
2013-06,88159,
2013-07,89626,
2013-08,88844,
2013-09,88995,
2013-10,89840,
2013-11,90600,
2013-12,89259,
2014-01,90955,
2014-02,94708,
2014-03,96471,
2014-04,97127,
2014-05,99576,
2014-06,100004,
2014-07,100615,
2014-08,101579,
2014-09,101899,
2014-10,100986,
2014-11,102039,
