"",BBK01.OECB16R,BBK01.OECB16R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:41,
2002-01,0.502,
2002-04,0.491,
2002-07,0.487,
2002-10,0.477,
2003-01,0.459,
2003-04,0.450,
2003-07,0.440,
2003-10,0.433,
2004-01,0.429,
2004-04,0.424,
2004-07,0.421,
2004-10,0.564,
2005-01,0.588,
2005-04,0.586,
2005-07,0.580,
2005-10,0.567,
2006-01,0.558,
2006-04,0.551,
2006-07,0.544,
2006-10,0.523,
2007-01,0.517,
2007-04,0.515,
2007-07,0.505,
2007-10,0.489,
2008-01,0.478,
2008-04,0.457,
2008-07,0.449,
2008-10,0.436,
2009-01,0.429,
2009-04,0.529,
2009-07,0.520,
2009-10,0.516,
2010-01,0.507,
2010-04,0.503,
2010-07,0.494,
2010-10,0.486,
2011-01,0.484,
2011-04,0.479,
2011-07,0.470,
2011-10,0.461,
2012-01,0.449,
2012-04,0.437,
2012-07,0.435,
2012-10,0.436,
2013-01,0.430,
2013-04,0.433,
2013-07,0.440,
2013-10,0.434,
2014-01,0.428,
2014-04,0.421,
2014-07,0.418,
