"",BBK01.OEAA37V,BBK01.OEAA37V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:16,
2002-01,16.814,
2002-04,16.922,
2002-07,17.005,
2002-10,17.231,
2003-01,17.188,
2003-04,16.103,
2003-07,16.198,
2003-10,16.227,
2004-01,15.898,
2004-04,15.997,
2004-07,16.125,
2004-10,16.155,
2005-01,17.081,
2005-04,17.091,
2005-07,17.500,
2005-10,17.462,
2006-01,17.413,
2006-04,17.562,
2006-07,17.598,
2006-10,17.623,
2007-01,17.343,
2007-04,17.169,
2007-07,17.110,
2007-10,16.880,
2008-01,16.514,
2008-04,15.999,
2008-07,15.933,
2008-10,16.125,
2009-01,16.036,
2009-04,17.091,
2009-07,16.999,
2009-10,17.271,
2010-01,17.163,
2010-04,16.858,
2010-07,16.469,
2010-10,16.228,
2011-01,16.243,
2011-04,16.271,
2011-07,16.391,
2011-10,16.317,
2012-01,16.298,
2012-04,16.620,
2012-07,16.758,
2012-10,16.767,
2013-01,16.824,
2013-04,16.941,
2013-07,17.105,
2013-10,17.283,
2014-01,17.298,
2014-04,17.540,
2014-07,17.685,
