"",BBK01.OEAA17U,BBK01.OEAA17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:46,
2002-01,7.210,
2002-04,7.286,
2002-07,7.274,
2002-10,7.333,
2003-01,7.161,
2003-04,7.151,
2003-07,7.125,
2003-10,7.093,
2004-01,7.141,
2004-04,6.603,
2004-07,6.644,
2004-10,6.567,
2005-01,6.493,
2005-04,6.384,
2005-07,6.365,
2005-10,6.319,
2006-01,6.319,
2006-04,6.315,
2006-07,6.399,
2006-10,6.489,
2007-01,6.545,
2007-04,6.755,
2007-07,6.761,
2007-10,6.885,
2008-01,7.047,
2008-04,7.168,
2008-07,7.176,
2008-10,7.184,
2009-01,7.143,
2009-04,7.304,
2009-07,7.343,
2009-10,7.371,
2010-01,7.503,
2010-04,7.690,
2010-07,7.768,
2010-10,7.754,
2011-01,7.950,
2011-04,8.152,
2011-07,8.249,
2011-10,8.256,
2012-01,8.364,
2012-04,8.474,
2012-07,8.555,
2012-10,8.547,
2013-01,8.709,
2013-04,8.925,
2013-07,8.986,
2013-10,9.099,
2014-01,9.350,
2014-04,9.758,
2014-07,9.533,
