"",BBK01.BQ1350,BBK01.BQ1350_FLAGS
"",Memo item: borrowers' note loans taken up by public-sector entities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:26,
2000-01,442318.1,
2000-04,444048.0,
2000-07,437574.4,
2000-10,432109.2,
2001-01,425206.8,
2001-04,423101.9,
2001-07,419476.0,
2001-10,416067.0,
2002-01,409176.5,
2002-04,404660.9,
2002-07,401432.4,
2002-10,398910.2,
2003-01,396685.4,
2003-04,396008.0,
2003-07,398317.5,
2003-10,399303.4,
2004-01,396971.1,
2004-04,397365.7,
2004-07,399835.3,
2004-10,399249.9,
2005-01,399306.8,
2005-04,394306.6,
2005-07,392740.9,
2005-10,389505.0,
2006-01,384788.5,
2006-04,382056.0,
2006-07,380213.1,
2006-10,381721.0,
2007-01,371616.8,
2007-04,366851.2,
2007-07,362063.1,
2007-10,355815.4,
2008-01,346359.7,
2008-04,347733.9,
2008-07,341425.2,
2008-10,351015.3,
2009-01,340938.8,
2009-04,346988.5,
2009-07,350127.1,
2009-10,350707.6,
2010-01,346959.5,
2010-04,348136.6,
2010-07,348552.0,
2010-10,355688.7,
2011-01,355639.7,
2011-04,354027.9,
2011-07,352768.2,
2011-10,344845.6,
2012-01,347157.9,
2012-04,343533.5,
2012-07,339710.3,
2012-10,336917.8,
2013-01,331520.3,
2013-04,330193.4,
2013-07,330508.5,
2013-10,330990.5,
2014-01,329161.5,
