"",BBK01.OECM01U,BBK01.OECM01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:27,
2002-01,0.219,
2002-04,0.233,
2002-07,0.207,
2002-10,0.226,
2003-01,0.205,
2003-04,0.222,
2003-07,0.191,
2003-10,0.232,
2004-01,0.208,
2004-04,0.207,
2004-07,0.199,
2004-10,0.204,
2005-01,0.181,
2005-04,0.168,
2005-07,0.195,
2005-10,0.181,
2006-01,0.201,
2006-04,0.205,
2006-07,0.208,
2006-10,0.205,
2007-01,0.184,
2007-04,0.303,
2007-07,0.253,
2007-10,0.332,
2008-01,0.251,
2008-04,0.280,
2008-07,0.295,
2008-10,0.367,
2009-01,0.235,
2009-04,0.205,
2009-07,0.212,
2009-10,0.129,
2010-01,0.118,
2010-04,0.121,
2010-07,0.135,
2010-10,0.152,
2011-01,0.117,
2011-04,0.125,
2011-07,0.166,
2011-10,0.158,
2012-01,0.169,
2012-04,0.169,
2012-07,0.166,
2012-10,0.157,
2013-01,0.171,
2013-04,0.147,
2013-07,0.129,
2013-10,0.109,
2014-01,0.113,
2014-04,0.116,
2014-07,0.111,
