"",BBK01.OEHB07O,BBK01.OEHB07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:20,
2002-01,1.793,
2002-04,1.802,
2002-07,1.853,
2002-10,1.844,
2003-01,1.826,
2003-04,1.836,
2003-07,1.866,
2003-10,1.846,
2004-01,1.876,
2004-04,1.881,
2004-07,1.924,
2004-10,1.893,
2005-01,1.888,
2005-04,1.915,
2005-07,1.967,
2005-10,1.992,
2006-01,1.983,
2006-04,1.971,
2006-07,1.925,
2006-10,1.926,
2007-01,1.929,
2007-04,1.938,
2007-07,1.944,
2007-10,1.894,
2008-01,1.940,
2008-04,1.961,
2008-07,2.016,
2008-10,1.972,
2009-01,1.884,
2009-04,1.969,
2009-07,2.036,
2009-10,2.138,
2010-01,2.229,
2010-04,2.307,
2010-07,2.378,
2010-10,2.436,
2011-01,2.416,
2011-04,2.451,
2011-07,2.584,
2011-10,2.600,
2012-01,2.715,
2012-04,2.759,
2012-07,2.786,
2012-10,2.786,
2013-01,2.782,
2013-04,2.782,
2013-07,2.776,
2013-10,2.726,
2014-01,2.689,
2014-04,2.643,
2014-07,2.596,
