"",BBK01.OEXB19V,BBK01.OEXB19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:37,
2002-01,1.427,
2002-04,1.501,
2002-07,1.544,
2002-10,1.713,
2003-01,1.712,
2003-04,0.705,
2003-07,0.733,
2003-10,0.748,
2004-01,0.651,
2004-04,0.648,
2004-07,0.676,
2004-10,0.664,
2005-01,0.859,
2005-04,0.847,
2005-07,0.956,
2005-10,0.941,
2006-01,0.941,
2006-04,0.960,
2006-07,0.976,
2006-10,1.039,
2007-01,1.074,
2007-04,1.116,
2007-07,1.145,
2007-10,0.942,
2008-01,0.948,
2008-04,0.965,
2008-07,0.951,
2008-10,1.152,
2009-01,1.183,
2009-04,1.191,
2009-07,1.199,
2009-10,1.232,
2010-01,1.187,
2010-04,1.168,
2010-07,1.131,
2010-10,1.084,
2011-01,1.049,
2011-04,1.022,
2011-07,0.998,
2011-10,0.925,
2012-01,0.898,
2012-04,0.879,
2012-07,0.837,
2012-10,0.810,
2013-01,0.788,
2013-04,0.786,
2013-07,0.795,
2013-10,0.783,
2014-01,0.777,
2014-04,0.582,
2014-07,0.582,
