"",BBFN1.M.DE.N.1.L.U3.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:47,
1995-01,4.693,
1995-02,4.645,
1995-03,4.919,
1995-04,4.911,
1995-05,4.936,
1995-06,5.070,
1995-07,4.799,
1995-08,4.867,
1995-09,5.313,
1995-10,5.303,
1995-11,5.290,
1995-12,4.818,
1996-01,4.721,
1996-02,4.677,
1996-03,5.003,
1996-04,4.644,
1996-05,4.745,
1996-06,4.799,
1996-07,4.674,
1996-08,4.637,
1996-09,4.959,
1996-10,5.082,
1996-11,5.175,
1996-12,5.457,
1997-01,4.970,
1997-02,5.125,
1997-03,5.239,
1997-04,5.379,
1997-05,5.382,
1997-06,5.403,
1997-07,5.250,
1997-08,5.038,
1997-09,5.575,
1997-10,5.513,
1997-11,6.458,
1997-12,5.568,
1998-01,5.414,
1998-02,5.785,
1998-03,6.196,
1998-04,5.900,
1998-05,6.030,
1998-06,6.223,
1998-07,5.858,
1998-08,5.537,
1998-09,6.906,
1998-10,6.166,
1998-11,5.987,
1998-12,6.072,
1999-01,5.698,
1999-02,5.666,
1999-03,6.104,
1999-04,5.870,
1999-05,5.669,
1999-06,6.142,
1999-07,6.023,
1999-08,5.979,
1999-09,6.422,
1999-10,6.661,
1999-11,6.606,
1999-12,7.359,
2000-01,6.903,
2000-02,7.427,
2000-03,7.565,
2000-04,7.488,
2000-05,7.426,
2000-06,7.935,
2000-07,7.582,
2000-08,7.907,
2000-09,8.297,
2000-10,8.314,
2000-11,8.411,
2000-12,8.888,
2001-01,8.119,
2001-02,8.238,
2001-03,8.281,
2001-04,7.891,
2001-05,8.144,
2001-06,8.550,
2001-07,8.330,
2001-08,8.231,
2001-09,8.724,
2001-10,9.229,
2001-11,8.568,
2001-12,9.838,
2002-01,8.195,
2002-02,8.148,
2002-03,8.407,
2002-04,8.139,
2002-05,7.999,
2002-06,8.480,
2002-07,8.066,
2002-08,8.066,
2002-09,8.522,
2002-10,9.085,
2002-11,9.068,
2002-12,9.654,
2003-01,8.641,
2003-02,9.079,
2003-03,9.508,
2003-04,8.909,
2003-05,8.077,
2003-06,8.824,
2003-07,8.273,
2003-08,7.670,
2003-09,8.320,
2003-10,8.274,
2003-11,8.177,
2003-12,8.107,
2004-01,7.709,
2004-02,7.607,
2004-03,8.181,
2004-04,7.250,
2004-05,11.316,
2004-06,12.029,
2004-07,11.739,
2004-08,11.604,
2004-09,12.536,
2004-10,12.544,
2004-11,13.047,
2004-12,12.236,
2005-01,11.158,
2005-02,11.583,
2005-03,12.184,
2005-04,12.292,
2005-05,12.457,
2005-06,13.435,
2005-07,13.599,
2005-08,14.085,
2005-09,15.196,
2005-10,14.485,
2005-11,15.480,
2005-12,16.080,
2006-01,15.616,
2006-02,15.980,
2006-03,16.709,
2006-04,16.159,
2006-05,16.250,
2006-06,16.829,
2006-07,16.235,
2006-08,15.601,
2006-09,16.112,
2006-10,16.692,
2006-11,16.816,
2006-12,16.862,
2007-01,16.025,
2007-02,15.999,
2007-03,17.727,
2007-04,16.950,
2007-05,16.413,
2007-06,16.626,
2007-07,16.151,
2007-08,15.153,
2007-09,17.565,
2007-10,17.413,
2007-11,17.524,
2007-12,17.298,
2008-01,16.595,
2008-02,17.453,
2008-03,17.578,
2008-04,18.455,
2008-05,19.297,
2008-06,18.811,
2008-07,18.118,
2008-08,17.706,
2008-09,18.456,
2008-10,17.889,
2008-11,17.367,
2008-12,16.420,
2009-01,13.587,
2009-02,14.165,
2009-03,17.200,
2009-04,12.293,
2009-05,13.561,
2009-06,19.522,
2009-07,19.523,
2009-08,16.243,
2009-09,18.212,
2009-10,19.390,
2009-11,20.552,
2009-12,20.580,
2010-01,13.683,
2010-02,13.305,
2010-03,15.024,
2010-04,14.222,
2010-05,14.272,
2010-06,15.781,
2010-07,14.508,
2010-08,13.308,
2010-09,15.968,
2010-10,15.563,
2010-11,15.544,
2010-12,16.591,
2011-01,15.544,
2011-02,16.283,
2011-03,16.562,
2011-04,15.969,
2011-05,15.012,
2011-06,15.901,
2011-07,14.915,
2011-08,13.571,
2011-09,15.984,
2011-10,15.870,
2011-11,16.968,
2011-12,17.182,
2012-01,15.503,
2012-02,16.765,
2012-03,16.740,
2012-04,15.954,
2012-05,15.775,
2012-06,16.317,
2012-07,15.609,
2012-08,14.394,
2012-09,16.270,
2012-10,16.599,
2012-11,17.121,
2012-12,16.866,
2013-01,15.671,
2013-02,16.143,
2013-03,17.662,
2013-04,15.931,
2013-05,15.767,
2013-06,16.367,
2013-07,15.324,
2013-08,15.298,
2013-09,18.271,
2013-10,17.392,
2013-11,17.445,
2013-12,16.585,
2014-01,16.107,
2014-02,16.869,
2014-03,18.074,
2014-04,16.608,
2014-05,16.489,
2014-06,17.172,
2014-07,16.828,
2014-08,15.741,
2014-09,18.502,
2014-10,17.745,
2014-11,18.446,
2014-12,18.323,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
