"",BBK01.OEXB08Q,BBK01.OEXB08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:38,
2002-01,4.195,
2002-04,4.194,
2002-07,4.150,
2002-10,4.130,
2003-01,4.151,
2003-04,4.140,
2003-07,3.967,
2003-10,3.991,
2004-01,3.943,
2004-04,3.990,
2004-07,3.997,
2004-10,2.556,
2005-01,2.467,
2005-04,2.497,
2005-07,2.525,
2005-10,2.539,
2006-01,2.545,
2006-04,2.565,
2006-07,2.579,
2006-10,2.605,
2007-01,2.603,
2007-04,2.600,
2007-07,2.583,
2007-10,2.572,
2008-01,2.560,
2008-04,2.599,
2008-07,2.568,
2008-10,2.569,
2009-01,2.610,
2009-04,2.632,
2009-07,2.688,
2009-10,2.721,
2010-01,2.725,
2010-04,2.736,
2010-07,2.750,
2010-10,2.773,
2011-01,2.779,
2011-04,2.811,
2011-07,2.852,
2011-10,2.861,
2012-01,2.900,
2012-04,2.941,
2012-07,2.991,
2012-10,3.024,
2013-01,3.079,
2013-04,3.115,
2013-07,3.193,
2013-10,3.245,
2014-01,3.263,
2014-04,3.273,
2014-07,3.291,
