"",BBSF2.M.1.S.I0015.DAC01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.DAC01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:40,
2009-09,2554,
2009-10,367,
2009-11,-,Nothing exists
2009-12,470,
2010-01,53,
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,177,
2010-05,-,Nothing exists
2010-06,32,
2010-07,215,
2010-08,-,Nothing exists
2010-09,134,
2010-10,15,
2010-11,55,
2010-12,418,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,47,
2011-04,2,
2011-05,4,
2011-06,-,Nothing exists
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,141,
2011-10,60,
2011-11,0,
2011-12,346,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,-,Nothing exists
2012-04,32,
2012-05,-,Nothing exists
2012-06,22,
2012-07,72,
2012-08,-,Nothing exists
2012-09,17,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,445,
2013-01,9,
2013-02,21,
2013-03,20,
2013-04,31,
2013-05,10,
2013-06,25,
2013-07,4,
2013-08,33,
2013-09,50,
2013-10,4,
2013-11,27,
2013-12,160,
2014-01,9,
2014-02,1,
2014-03,36,
2014-04,-,Nothing exists
2014-05,42,
2014-06,2,
2014-07,74,
2014-08,81,
2014-09,26,
2014-10,33,
2014-11,105,
