"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CZ.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CZ.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Czech Republic / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:03,
2009-09,440,
2009-10,444,
2009-11,434,
2009-12,447,
2010-01,411,
2010-02,451,
2010-03,449,
2010-04,447,
2010-05,457,
2010-06,447,
2010-07,456,
2010-08,468,
2010-09,610,
2010-10,617,
2010-11,609,
2010-12,593,
2011-01,592,
2011-02,553,
2011-03,545,
2011-04,579,
2011-05,513,
2011-06,570,
2011-07,585,
2011-08,631,
2011-09,658,
2011-10,653,
2011-11,640,
2011-12,661,
2012-01,675,
2012-02,928,
2012-03,998,
2012-04,999,
2012-05,1018,
2012-06,1058,
2012-07,1082,
2012-08,1062,
2012-09,1045,
2012-10,1250,
2012-11,1271,
2012-12,1281,
2013-01,1242,
2013-02,1172,
2013-03,1171,
2013-04,1193,
2013-05,1173,
2013-06,1120,
2013-07,1100,
2013-08,1062,
2013-09,1003,
2013-10,963,
2013-11,932,
2013-12,939,
2014-01,934,
2014-02,930,
2014-03,926,
2014-04,917,
2014-05,854,
2014-06,836,
2014-07,828,
2014-08,815,
2014-09,807,
2014-10,803,
2014-11,775,
