"",BBK01.OEAH22I,BBK01.OEAH22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:27,
2002-01,1.143,
2002-04,1.149,
2002-07,1.148,
2002-10,1.157,
2003-01,1.105,
2003-04,1.282,
2003-07,1.055,
2003-10,1.028,
2004-01,0.999,
2004-04,0.982,
2004-07,0.959,
2004-10,0.919,
2005-01,0.917,
2005-04,0.896,
2005-07,0.885,
2005-10,0.857,
2006-01,0.823,
2006-04,0.818,
2006-07,0.830,
2006-10,0.807,
2007-01,1.163,
2007-04,1.288,
2007-07,1.321,
2007-10,1.991,
2008-01,2.192,
2008-04,2.397,
2008-07,2.544,
2008-10,2.678,
2009-01,2.974,
2009-04,2.898,
2009-07,2.802,
2009-10,2.885,
2010-01,3.224,
2010-04,3.618,
2010-07,3.718,
2010-10,1.200,
2011-01,1.263,
2011-04,1.382,
2011-07,1.432,
2011-10,1.426,
2012-01,1.366,
2012-04,1.369,
2012-07,1.342,
2012-10,1.219,
2013-01,1.094,
2013-04,0.946,
2013-07,0.972,
2013-10,0.981,
2014-01,1.094,
2014-04,1.093,
2014-07,1.206,
