"",BBK01.OECB14U,BBK01.OECB14U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:16,
2002-01,0.096,
2002-04,0.092,
2002-07,0.094,
2002-10,0.101,
2003-01,0.105,
2003-04,0.093,
2003-07,0.082,
2003-10,0.091,
2004-01,0.088,
2004-04,0.085,
2004-07,0.084,
2004-10,0.082,
2005-01,0.083,
2005-04,0.096,
2005-07,0.088,
2005-10,0.087,
2006-01,0.085,
2006-04,0.082,
2006-07,0.078,
2006-10,0.074,
2007-01,0.067,
2007-04,0.068,
2007-07,0.060,
2007-10,0.060,
2008-01,0.056,
2008-04,0.059,
2008-07,0.055,
2008-10,0.054,
2009-01,0.056,
2009-04,0.046,
2009-07,0.044,
2009-10,0.045,
2010-01,0.044,
2010-04,0.045,
2010-07,0.043,
2010-10,0.042,
2011-01,0.043,
2011-04,0.043,
2011-07,0.044,
2011-10,0.044,
2012-01,0.045,
2012-04,0.045,
2012-07,0.044,
2012-10,0.042,
2013-01,0.044,
2013-04,0.044,
2013-07,0.047,
2013-10,0.046,
2014-01,0.047,
2014-04,0.044,
2014-07,0.043,
