"",BBK01.CEL303,BBK01.CEL303_FLAGS
"",Debt securities                                  debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:09,
1999-01,7.5,
1999-04,38.3,
1999-07,28.5,
1999-10,12.8,
2000-01,42.6,
2000-04,21.5,
2000-07,17.7,
2000-10,10.8,
2001-01,23.3,
2001-04,23.2,
2001-07,-6.3,
2001-10,0.4,
2002-01,22.7,
2002-04,14.6,
2002-07,-6.8,
2002-10,-18.4,
2003-01,23.7,
2003-04,2.7,
2003-07,3.1,
2003-10,7.1,
2004-01,54.9,
2004-04,36.6,
2004-07,25.2,
2004-10,-2.1,
2005-01,48.1,
2005-04,27.9,
2005-07,-9.1,
2005-10,-0.1,
2006-01,23.2,
2006-04,25.3,
2006-07,-3.2,
2006-10,20.0,
2007-01,47.1,
2007-04,27.7,
2007-07,-2.0,
2007-10,25.3,
2008-01,17.9,
2008-04,29.3,
2008-07,2.8,
2008-10,7.9,
2009-01,10.2,
2009-04,30.1,
2009-07,-2.6,
2009-10,-17.4,
2010-01,10.3,
2010-04,-27.5,
2010-07,-32.3,
2010-10,-25.9,
2011-01,-11.9,
2011-04,-17.9,
2011-07,-12.2,
2011-10,-17.2,
2012-01,2.6,
2012-04,-21.7,
2012-07,-7.3,
2012-10,-16.6,
2013-01,-20.2,
2013-04,-5.0,
2013-07,-10.9,
2013-10,-2.2,
2014-01,-7.3,
2014-04,-2.3,
2014-07,-2.1,
