"",BBK01.OEAC33V,BBK01.OEAC33V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:12,
2002-01,0.084,
2002-04,0.083,
2002-07,0.074,
2002-10,0.080,
2003-01,0.086,
2003-04,0.098,
2003-07,0.070,
2003-10,0.063,
2004-01,0.056,
2004-04,0.124,
2004-07,0.116,
2004-10,0.117,
2005-01,0.101,
2005-04,0.115,
2005-07,0.110,
2005-10,0.096,
2006-01,0.100,
2006-04,0.125,
2006-07,0.119,
2006-10,0.163,
2007-01,0.177,
2007-04,0.206,
2007-07,0.167,
2007-10,0.137,
2008-01,0.025,
2008-04,0.026,
2008-07,0.025,
2008-10,0.048,
2009-01,0.068,
2009-04,0.069,
2009-07,0.097,
2009-10,0.094,
2010-01,0.132,
2010-04,0.207,
2010-07,0.213,
2010-10,0.197,
2011-01,0.210,
2011-04,0.214,
2011-07,0.217,
2011-10,0.233,
2012-01,0.236,
2012-04,0.226,
2012-07,0.245,
2012-10,0.254,
2013-01,0.201,
2013-04,0.188,
2013-07,0.146,
2013-10,0.149,
2014-01,0.148,
2014-04,0.142,
2014-07,0.141,
