"",BBSF2.M.1.T.00000.DSO01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:47:08,
2009-09,127,
2009-10,130,
2009-11,134,
2009-12,136,
2010-01,148,
2010-02,154,
2010-03,155,
2010-04,154,
2010-05,154,
2010-06,149,
2010-07,145,
2010-08,145,
2010-09,142,
2010-10,142,
2010-11,144,
2010-12,131,
2011-01,130,
2011-02,128,
2011-03,127,
2011-04,130,
2011-05,130,
2011-06,128,
2011-07,136,
2011-08,136,
2011-09,138,
2011-10,136,
2011-11,136,
2011-12,135,
2012-01,134,
2012-02,134,
2012-03,134,
2012-04,135,
2012-05,134,
2012-06,134,
2012-07,133,
2012-08,133,
2012-09,133,
2012-10,132,
2012-11,132,
2012-12,131,
2013-01,131,
2013-02,128,
2013-03,126,
2013-04,126,
2013-05,122,
2013-06,120,
2013-07,118,
2013-08,118,
2013-09,116,
2013-10,119,
2013-11,119,
2013-12,118,
2014-01,116,
2014-02,115,
2014-03,115,
2014-04,115,
2014-05,115,
2014-06,111,
2014-07,114,
2014-08,104,
2014-09,105,
2014-10,105,
2014-11,106,
