"",BBK01.OEAG03J,BBK01.OEAG03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:18,
2002-01,0.770,
2002-04,0.953,
2002-07,1.255,
2002-10,1.365,
2003-01,1.240,
2003-04,1.077,
2003-07,1.127,
2003-10,1.136,
2004-01,1.313,
2004-04,1.571,
2004-07,1.512,
2004-10,1.645,
2005-01,1.809,
2005-04,1.739,
2005-07,1.631,
2005-10,1.655,
2006-01,1.698,
2006-04,1.637,
2006-07,1.606,
2006-10,1.701,
2007-01,1.530,
2007-04,1.388,
2007-07,1.222,
2007-10,1.443,
2008-01,1.428,
2008-04,1.366,
2008-07,1.504,
2008-10,1.310,
2009-01,1.535,
2009-04,1.228,
2009-07,1.291,
2009-10,0.973,
2010-01,0.978,
2010-04,1.005,
2010-07,0.955,
2010-10,0.916,
2011-01,0.917,
2011-04,0.920,
2011-07,0.819,
2011-10,0.835,
2012-01,1.000,
2012-04,1.041,
2012-07,0.920,
2012-10,0.172,
2013-01,0.371,
2013-04,0.220,
2013-07,0.170,
2013-10,0.220,
2014-01,0.346,
2014-04,0.193,
2014-07,0.546,
