"",BBK01.CEHEQ1,BBK01.CEHEQ1_FLAGS
"",short-term loans  (consolidated) debtor: All sectors                    creditor:  Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:24,
1991-01,3.4,
1991-04,0.6,
1991-07,-2.0,
1991-10,-2.8,
1992-01,0.3,
1992-04,-0.4,
1992-07,-1.0,
1992-10,-3.5,
1993-01,-0.7,
1993-04,-0.1,
1993-07,0.4,
1993-10,-3.6,
1994-01,1.2,
1994-04,1.1,
1994-07,0.9,
1994-10,2.9,
1995-01,1.2,
1995-04,1.1,
1995-07,1.3,
1995-10,-0.8,
1996-01,1.9,
1996-04,1.8,
1996-07,0.2,
1996-10,0.8,
1997-01,3.1,
1997-04,0.2,
1997-07,1.3,
1997-10,0.3,
1998-01,0.9,
1998-04,1.4,
1998-07,2.1,
1998-10,1.5,
1999-01,4.4,
1999-04,4.5,
1999-07,4.8,
1999-10,-3.2,
2000-01,-3.1,
2000-04,2.1,
2000-07,18.5,
2000-10,-5.8,
2001-01,6.3,
2001-04,1.4,
2001-07,-2.7,
2001-10,5.0,
2002-01,-4.0,
2002-04,-4.6,
2002-07,0.2,
2002-10,-3.5,
2003-01,6.0,
2003-04,0.6,
2003-07,3.9,
2003-10,-3.6,
2004-01,0.0,
2004-04,0.8,
2004-07,4.8,
2004-10,-2.1,
2005-01,3.6,
2005-04,5.9,
2005-07,-0.9,
2005-10,-1.5,
2006-01,1.7,
2006-04,6.3,
2006-07,4.4,
2006-10,-1.9,
2007-01,7.6,
2007-04,-0.1,
2007-07,2.6,
2007-10,-3.5,
2008-01,-0.6,
2008-04,7.6,
2008-07,-4.0,
2008-10,-4.6,
2009-01,6.6,
2009-04,-2.3,
2009-07,-1.3,
2009-10,-3.4,
2010-01,7.3,
2010-04,4.2,
2010-07,3.3,
2010-10,-4.0,
2011-01,5.5,
2011-04,-1.3,
2011-07,-1.2,
2011-10,1.6,
2012-01,3.2,
2012-04,3.8,
2012-07,-6.0,
2012-10,-4.4,
2013-01,5.7,
2013-04,-1.0,
2013-07,-0.4,
2013-10,-3.2,
2014-01,3.9,
