"",BBK01.OEXM02T,BBK01.OEXM02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:39,
2002-01,0.035,
2002-04,0.042,
2002-07,0.044,
2002-10,0.054,
2003-01,0.068,
2003-04,0.087,
2003-07,0.095,
2003-10,0.076,
2004-01,0.084,
2004-04,0.153,
2004-07,0.153,
2004-10,0.159,
2005-01,0.169,
2005-04,0.188,
2005-07,0.190,
2005-10,0.196,
2006-01,0.192,
2006-04,0.196,
2006-07,0.188,
2006-10,0.190,
2007-01,0.173,
2007-04,0.180,
2007-07,0.189,
2007-10,0.150,
2008-01,0.138,
2008-04,0.126,
2008-07,0.112,
2008-10,0.185,
2009-01,0.375,
2009-04,0.434,
2009-07,0.409,
2009-10,0.390,
2010-01,0.361,
2010-04,0.377,
2010-07,0.351,
2010-10,0.362,
2011-01,0.331,
2011-04,0.325,
2011-07,0.313,
2011-10,0.219,
2012-01,0.236,
2012-04,0.127,
2012-07,0.149,
2012-10,0.134,
2013-01,0.131,
2013-04,0.134,
2013-07,0.141,
2013-10,0.140,
2014-01,0.045,
2014-04,0.101,
2014-07,0.081,
