"",BBK01.OEAH19G,BBK01.OEAH19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:12,
2002-01,101.281,
2002-04,101.468,
2002-07,100.875,
2002-10,103.644,
2003-01,104.635,
2003-04,103.399,
2003-07,106.391,
2003-10,108.230,
2004-01,110.037,
2004-04,111.079,
2004-07,111.039,
2004-10,112.686,
2005-01,106.379,
2005-04,107.284,
2005-07,107.001,
2005-10,108.098,
2006-01,108.823,
2006-04,108.918,
2006-07,109.918,
2006-10,111.862,
2007-01,112.265,
2007-04,113.581,
2007-07,113.898,
2007-10,116.657,
2008-01,110.074,
2008-04,114.130,
2008-07,117.979,
2008-10,117.625,
2009-01,121.869,
2009-04,136.686,
2009-07,136.840,
2009-10,137.776,
2010-01,139.567,
2010-04,139.033,
2010-07,138.298,
2010-10,141.123,
2011-01,144.379,
2011-04,143.562,
2011-07,145.615,
2011-10,145.231,
2012-01,143.901,
2012-04,143.476,
2012-07,140.611,
2012-10,138.269,
2013-01,139.644,
2013-04,138.220,
2013-07,135.703,
2013-10,135.797,
2014-01,135.813,
2014-04,134.766,
2014-07,134.110,
