"",BBAI3.Q.DE.N.V.BF90.F.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Total assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:14,
2005-10,10745,
2006-01,11919,
2006-04,10352,
2006-07,12585,
2006-10,12893,
2007-01,13574,
2007-04,14229,
2007-07,13769,
2007-10,11223,
2008-01,4918,
2008-04,3640,
2008-07,2293,
2008-10,4674,
2009-01,2919,
2009-04,6248,
2009-07,9829,
2009-10,11676,
2010-01,11156,
2010-04,11792,
2010-07,14630,
2010-10,14957,
2011-01,11393,
2011-04,12540,
2011-07,13206,
2011-10,15485,
2012-01,18178,
2012-04,19948,
2012-07,25679,
2012-10,26606,
2013-01,26698,
2013-04,23279,
2013-07,23866,
2013-10,23452,
2014-01,27750,
2014-04,33335,
2014-07,36309,
