"",BBK01.CEFZ50,BBK01.CEFZ50_FLAGS
"","Other accounts payable, excluding trade credits and advances                                          debtor: OFI             creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:06,
1999-01,0.8,
1999-04,2.4,
1999-07,2.1,
1999-10,2.3,
2000-01,1.9,
2000-04,2.6,
2000-07,2.8,
2000-10,2.2,
2001-01,2.2,
2001-04,2.1,
2001-07,2.2,
2001-10,2.0,
2002-01,1.9,
2002-04,1.4,
2002-07,2.6,
2002-10,2.0,
2003-01,2.4,
2003-04,2.3,
2003-07,2.5,
2003-10,2.1,
2004-01,3.3,
2004-04,3.2,
2004-07,3.4,
2004-10,2.2,
2005-01,2.0,
2005-04,2.0,
2005-07,2.2,
2005-10,2.3,
2006-01,2.4,
2006-04,2.6,
2006-07,2.6,
2006-10,2.4,
2007-01,2.7,
2007-04,2.7,
2007-07,2.6,
2007-10,5.2,
2008-01,5.0,
2008-04,3.7,
2008-07,3.3,
2008-10,2.9,
2009-01,3.1,
2009-04,3.1,
2009-07,2.8,
2009-10,2.8,
2010-01,2.6,
2010-04,2.9,
2010-07,2.7,
2010-10,2.5,
2011-01,2.3,
2011-04,3.0,
2011-07,3.1,
2011-10,3.0,
2012-01,2.7,
2012-04,2.9,
2012-07,2.8,
2012-10,3.0,
2013-01,3.2,
2013-04,2.9,
2013-07,2.8,
2013-10,2.8,
2014-01,2.7,
2014-04,3.0,
2014-07,3.0,
