"",BBK01.OEAC52R,BBK01.OEAC52R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:15,
2002-01,0.212,
2002-04,0.204,
2002-07,0.203,
2002-10,0.222,
2003-01,0.367,
2003-04,0.370,
2003-07,0.361,
2003-10,0.362,
2004-01,0.330,
2004-04,0.327,
2004-07,0.315,
2004-10,0.384,
2005-01,0.363,
2005-04,0.360,
2005-07,0.345,
2005-10,0.283,
2006-01,0.265,
2006-04,0.262,
2006-07,0.253,
2006-10,0.251,
2007-01,0.245,
2007-04,0.180,
2007-07,0.179,
2007-10,0.175,
2008-01,0.174,
2008-04,0.175,
2008-07,0.174,
2008-10,0.234,
2009-01,0.245,
2009-04,0.226,
2009-07,0.227,
2009-10,0.218,
2010-01,0.258,
2010-04,0.248,
2010-07,0.252,
2010-10,0.260,
2011-01,0.278,
2011-04,0.277,
2011-07,0.278,
2011-10,0.287,
2012-01,0.295,
2012-04,0.293,
2012-07,0.290,
2012-10,0.286,
2013-01,0.287,
2013-04,0.289,
2013-07,0.285,
2013-10,0.284,
2014-01,0.282,
2014-04,0.286,
2014-07,0.279,
