"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.S._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / Enterprises and households / Short-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:04,
1991-01,1437.630,
1991-02,2146.566,
1991-03,1507.413,
1991-04,1443.128,
1991-05,851.623,
1991-06,2741.355,
1991-07,553.325,
1991-08,865.327,
1991-09,10.671,
1991-10,1139.118,
1991-11,-769.239,
1991-12,-391.278,
1992-01,-2059.389,
1992-02,-277.065,
1992-03,-2628.320,
1992-04,-311.622,
1992-05,1454.140,
1992-06,337.762,
1992-07,2152.135,
1992-08,635.650,
1992-09,1782.804,
1992-10,687.477,
1992-11,1898.360,
1992-12,-1701.550,
1993-01,2195.804,
1993-02,282.018,
1993-03,-248.326,
1993-04,1454.016,
1993-05,291.832,
1993-06,-2135.361,
1993-07,-655.683,
1993-08,859.255,
1993-09,-984.513,
1993-10,673.951,
1993-11,-1508.673,
1993-12,-679.174,
1994-01,-1198.278,
1994-02,1296.199,
1994-03,768.144,
1994-04,-216.054,
1994-05,908.925,
1994-06,-930.408,
1994-07,-321.558,
1994-08,543.719,
1994-09,-28.125,
1994-10,373.628,
1994-11,162.873,
1994-12,-1111.547,
1995-01,1443.942,
1995-02,727.489,
1995-03,1751.819,
1995-04,937.616,
1995-05,560.587,
1995-06,-823.795,
1995-07,-366.325,
1995-08,-95.194,
1995-09,1054.237,
1995-10,695.717,
1995-11,761.646,
1995-12,435.071,
1996-01,346.956,
1996-02,1795.482,
1996-03,-907.126,
1996-04,740.027,
1996-05,1260.832,
1996-06,-1988.199,
1996-07,-527.741,
1996-08,-386.697,
1996-09,1389.337,
1996-10,-88.896,
1996-11,-59.140,
1996-12,-788.306,
1997-01,-1081.181,
1997-02,1566.366,
1997-03,61.678,
1997-04,1958.770,
1997-05,1327.946,
1997-06,2741.487,
1997-07,461.824,
1997-08,-2090.378,
1997-09,-1341.135,
1997-10,2394.266,
1997-11,-763.004,
1997-12,-1413.620,
1998-01,1393.176,
1998-02,382.552,
1998-03,2056.586,
1998-04,10.596,
1998-05,-1964.010,
1998-06,-858.155,
1998-07,434.242,
1998-08,-1269.532,
1998-09,-82.335,
1998-10,537.346,
1998-11,1634.257,
1998-12,-102.609,
1999-01,815.551,
1999-02,-184.632,
1999-03,1507.397,
1999-04,35.709,
1999-05,-778.639,
1999-06,3183.261,
1999-07,1349.654,
1999-08,1863.296,
1999-09,-1410.309,
1999-10,5202.368,
1999-11,-1945.854,
1999-12,4666.164,
2000-01,3653.681,
2000-02,9054.915,
2000-03,-561.553,
2000-04,-1872.304,
2000-05,1105.260,
2000-06,-6764.565,
2000-07,-6429.113,
2000-08,-1343.551,
2000-09,5177.667,
2000-10,-1909.434,
2000-11,-1430.198,
2000-12,413.669,
2001-01,2471.224,
2001-02,-5054.050,
2001-03,-63.872,
2001-04,3127.108,
2001-05,2813.018,
2001-06,-2637.944,
2001-07,1316.999,
2001-08,-2747.679,
2001-09,-1145.717,
2001-10,-598.262,
2001-11,-307.215,
2001-12,-2554.021,
2002-01,1440.504,
2002-02,2707.598,
2002-03,577.369,
2002-04,-2123.881,
2002-05,-78.990,
2002-06,-1808.170,
2002-07,-97.862,
2002-08,-172.934,
2002-09,-390.304,
2002-10,-504.105,
2002-11,321.943,
2002-12,-4357.189,
2003-01,3063.936,
2003-02,-631.824,
2003-03,553.479,
2003-04,1672.463,
2003-05,-2389.382,
2003-06,-2012.274,
2003-07,1564.348,
2003-08,-471.456,
2003-09,-1414.491,
2003-10,-594.000,
2003-11,618.007,
2003-12,264.366,
2004-01,4109.646,
2004-02,723.877,
2004-03,-894.902,
2004-04,-1281.963,
2004-05,-746.746,
2004-06,-1539.839,
2004-07,-1535.686,
2004-08,-657.589,
2004-09,1456.946,
2004-10,318.419,
2004-11,-960.025,
2004-12,-1491.118,
2005-01,-572.841,
