"",BBK01.OEBI09M,BBK01.OEBI09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:08,
2002-01,1.406,
2002-04,1.332,
2002-07,1.339,
2002-10,1.282,
2003-01,1.136,
2003-04,1.020,
2003-07,0.942,
2003-10,0.916,
2004-01,0.886,
2004-04,0.844,
2004-07,0.833,
2004-10,0.891,
2005-01,0.985,
2005-04,0.982,
2005-07,0.924,
2005-10,0.941,
2006-01,0.972,
2006-04,1.023,
2006-07,1.084,
2006-10,1.169,
2007-01,1.439,
2007-04,1.525,
2007-07,1.615,
2007-10,1.769,
2008-01,1.789,
2008-04,1.788,
2008-07,1.687,
2008-10,2.222,
2009-01,2.128,
2009-04,2.076,
2009-07,2.087,
2009-10,1.735,
2010-01,1.616,
2010-04,1.794,
2010-07,1.766,
2010-10,2.059,
2011-01,2.394,
2011-04,2.252,
2011-07,2.282,
2011-10,2.292,
2012-01,1.945,
2012-04,1.894,
2012-07,1.736,
2012-10,1.396,
2013-01,1.134,
2013-04,0.977,
2013-07,0.921,
2013-10,0.876,
2014-01,0.844,
2014-04,0.819,
2014-07,1.037,
