"",BBK01.OEAB05U,BBK01.OEAB05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:51,
2002-01,23.621,
2002-04,23.800,
2002-07,23.854,
2002-10,24.503,
2003-01,24.359,
2003-04,24.476,
2003-07,24.471,
2003-10,24.515,
2004-01,24.473,
2004-04,23.852,
2004-07,24.017,
2004-10,24.063,
2005-01,24.462,
2005-04,24.289,
2005-07,24.440,
2005-10,24.328,
2006-01,24.306,
2006-04,24.393,
2006-07,24.529,
2006-10,24.529,
2007-01,24.348,
2007-04,24.416,
2007-07,24.213,
2007-10,24.359,
2008-01,24.046,
2008-04,24.038,
2008-07,23.948,
2008-10,24.052,
2009-01,23.852,
2009-04,24.806,
2009-07,24.957,
2009-10,24.848,
2010-01,24.884,
2010-04,25.066,
2010-07,25.129,
2010-10,25.039,
2011-01,25.224,
2011-04,25.437,
2011-07,25.470,
2011-10,25.382,
2012-01,25.528,
2012-04,26.058,
2012-07,26.182,
2012-10,26.182,
2013-01,26.958,
2013-04,27.276,
2013-07,27.766,
2013-10,27.941,
2014-01,28.300,
2014-04,28.603,
2014-07,28.428,
