"",BBK01.OEHO04Q,BBK01.OEHO04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:05,
2002-01,-0.129,
2002-04,-0.102,
2002-07,-0.062,
2002-10,-0.039,
2003-01,-0.078,
2003-04,-0.156,
2003-07,-0.089,
2003-10,-0.075,
2004-01,-0.094,
2004-04,-0.088,
2004-07,-0.040,
2004-10,-0.029,
2005-01,-0.024,
2005-04,-0.053,
2005-07,-0.054,
2005-10,-0.068,
2006-01,-0.113,
2006-04,-0.095,
2006-07,-0.119,
2006-10,-0.165,
2007-01,-0.168,
2007-04,-0.141,
2007-07,-0.083,
2007-10,-0.006,
2008-01,-0.112,
2008-04,-0.055,
2008-07,-0.053,
2008-10,0.150,
2009-01,0.012,
2009-04,-0.086,
2009-07,-0.129,
2009-10,-0.051,
2010-01,-0.019,
2010-04,-0.016,
2010-07,0.022,
2010-10,0.001,
2011-01,0.036,
2011-04,0.058,
2011-07,0.013,
2011-10,0.148,
2012-01,0.100,
2012-04,0.058,
2012-07,-0.026,
2012-10,-0.114,
2013-01,-0.039,
2013-04,0.013,
2013-07,-0.082,
2013-10,0.018,
2014-01,0.001,
2014-04,-0.122,
2014-07,-0.141,
