"",BBK01.WXI007,BBK01.WXI007_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:38,
2009-09,2003,
2009-10,1728,
2009-11,2356,
2009-12,2815,
2010-01,7179,
2010-02,6852,
2010-03,6117,
2010-04,1780,
2010-05,2887,
2010-06,2357,
2010-07,1809,
2010-08,2289,
2010-09,1915,
2010-10,1942,
2010-11,2793,
2010-12,2577,
2011-01,2235,
2011-02,3568,
2011-03,2235,
2011-04,2059,
2011-05,2241,
2011-06,1982,
2011-07,1902,
2011-08,2851,
2011-09,3028,
2011-10,2753,
2011-11,3157,
2011-12,2420,
2012-01,2677,
2012-02,2175,
2012-03,2100,
2012-04,2330,
2012-05,3964,
2012-06,2373,
2012-07,2870,
2012-08,2383,
2012-09,1770,
2012-10,1521,
2012-11,2383,
2012-12,3320,
2013-01,3601,
2013-02,4012,
2013-03,5596,
2013-04,5770,
2013-05,5609,
2013-06,5715,
2013-07,4901,
2013-08,5037,
2013-09,4566,
2013-10,4792,
2013-11,3735,
2013-12,3222,
2014-01,3691,
2014-02,3728,
2014-03,2756,
2014-04,2926,
2014-05,3529,
2014-06,2951,
2014-07,3872,
2014-08,4723,
2014-09,6814,
2014-10,6549,
2014-11,7389,
