"",BBK01.OEBJ07G,BBK01.OEBJ07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:44,
2002-01,0.065,
2002-04,0.077,
2002-07,0.076,
2002-10,0.074,
2003-01,0.089,
2003-04,0.093,
2003-07,0.094,
2003-10,0.108,
2004-01,0.104,
2004-04,0.099,
2004-07,0.101,
2004-10,0.118,
2005-01,0.127,
2005-04,0.170,
2005-07,0.063,
2005-10,0.040,
2006-01,0.022,
2006-04,0.013,
2006-07,0.013,
2006-10,0.011,
2007-01,0.010,
2007-04,0.008,
2007-07,0.008,
2007-10,0.020,
2008-01,0.023,
2008-04,0.023,
2008-07,0.026,
2008-10,0.026,
2009-01,0.026,
2009-04,0.028,
2009-07,0.042,
2009-10,0.042,
2010-01,0.039,
2010-04,0.036,
2010-07,0.037,
2010-10,0.041,
2011-01,0.037,
2011-04,0.040,
2011-07,0.039,
2011-10,0.022,
2012-01,0.027,
2012-04,0.029,
2012-07,0.038,
2012-10,0.045,
2013-01,0.049,
2013-04,0.047,
2013-07,0.038,
2013-10,0.036,
2014-01,0.029,
2014-04,0.031,
2014-07,0.032,
