"",BBK01.CEBO0N,BBK01.CEBO0N_FLAGS
"",Other deposits debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:43,
1991-01,143.2,
1991-04,143.0,
1991-07,144.8,
1991-10,141.3,
1992-01,149.2,
1992-04,153.9,
1992-07,167.3,
1992-10,174.2,
1993-01,175.0,
1993-04,185.8,
1993-07,185.7,
1993-10,200.1,
1994-01,204.4,
1994-04,207.5,
1994-07,216.8,
1994-10,231.2,
1995-01,245.0,
1995-04,262.1,
1995-07,277.4,
1995-10,281.0,
1996-01,294.5,
1996-04,294.0,
1996-07,291.9,
1996-10,296.2,
1997-01,332.1,
1997-04,355.6,
1997-07,359.2,
1997-10,376.1,
1998-01,405.9,
1998-04,420.0,
1998-07,436.3,
1998-10,463.4,
1999-01,574.6,
1999-04,593.0,
1999-07,622.7,
1999-10,686.2,
2000-01,718.2,
2000-04,716.0,
2000-07,734.8,
2000-10,759.0,
2001-01,850.0,
2001-04,850.2,
2001-07,832.3,
2001-10,854.2,
2002-01,839.7,
2002-04,786.1,
2002-07,803.0,
2002-10,804.0,
2003-01,791.8,
2003-04,765.5,
2003-07,757.3,
2003-10,774.7,
2004-01,769.6,
2004-04,725.4,
2004-07,743.1,
2004-10,792.2,
2005-01,774.7,
2005-04,765.2,
2005-07,777.7,
2005-10,805.1,
2006-01,797.1,
2006-04,757.8,
2006-07,773.6,
2006-10,755.8,
2007-01,750.5,
2007-04,745.9,
2007-07,791.7,
2007-10,808.3,
2008-01,796.1,
2008-04,757.7,
2008-07,785.5,
2008-10,684.9,
2009-01,613.9,
2009-04,613.7,
2009-07,594.0,
2009-10,581.7,
2010-01,571.5,
2010-04,596.4,
2010-07,617.2,
2010-10,628.2,
2011-01,574.9,
2011-04,530.3,
2011-07,575.9,
2011-10,548.2,
2012-01,644.1,
2012-04,617.9,
2012-07,575.1,
2012-10,533.2,
2013-01,531.0,
2013-04,509.4,
2013-07,530.9,
2013-10,504.5,
2014-01,508.1,
