"",BBSF2.M.1.S.00000.AKT01.T.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.T.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net asset value / Not defined / Cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:01,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,115,
1993-05,117,
1993-06,120,
1993-07,125,
1993-08,131,
1993-09,129,
1993-10,137,
1993-11,137,
1993-12,145,
1994-01,148,
1994-02,144,
1994-03,145,
1994-04,157,
1994-05,152,
1994-06,147,
1994-07,152,
1994-08,156,
1994-09,147,
1994-10,153,
1994-11,151,
1994-12,153,
1995-01,151,
1995-02,153,
1995-03,145,
1995-04,150,
1995-05,154,
1995-06,154,
1995-07,159,
1995-08,161,
1995-09,156,
1995-10,156,
1995-11,159,
1995-12,162,
1996-01,171,
1996-02,170,
1996-03,173,
1996-04,177,
1996-05,182,
1996-06,182,
1996-07,173,
1996-08,178,
1996-09,183,
1996-10,183,
1996-11,194,
1996-12,179,
1997-01,188,
1997-02,197,
1997-03,201,
1997-04,201,
1997-05,209,
1997-06,217,
1997-07,241,
1997-08,225,
1997-09,273,
1997-10,256,
1997-11,263,
1997-12,271,
1998-01,281,
1998-02,295,
1998-03,314,
1998-04,314,
1998-05,327,
1998-06,333,
1998-07,354,
1998-08,313,
1998-09,295,
1998-10,304,
1998-11,329,
1998-12,324,
1999-01,381,
1999-02,372,
1999-03,374,
1999-04,397,
1999-05,385,
1999-06,404,
1999-07,394,
1999-08,401,
1999-09,384,
1999-10,405,
1999-11,429,
1999-12,476,
2000-01,464,
2000-02,494,
2000-03,501,
2000-04,501,
2000-05,491,
2000-06,487,
2000-07,505,
2000-08,520,
2000-09,504,
2000-10,531,
2000-11,502,
2000-12,499,
2001-01,508,
2001-02,484,
2001-03,480,
2001-04,491,
2001-05,512,
2001-06,498,
2001-07,487,
2001-08,459,
2001-09,407,
2001-10,413,
2001-11,438,
2001-12,446,
2002-01,436,
2002-02,427,
2002-03,449,
2002-04,427,
2002-05,421,
2002-06,388,
2002-07,361,
2002-08,355,
2002-09,311,
2002-10,1079,
2002-11,1112,
2002-12,1103,
2003-01,1099,
2003-02,1109,
2003-03,1208,
2003-04,1246,
2003-05,1429,
2003-06,1460,
2003-07,1468,
2003-08,1502,
2003-09,1496,
2003-10,1508,
2003-11,1514,
2003-12,1533,
2004-01,1550,
2004-02,1567,
2004-03,1559,
2004-04,1192,
2004-05,1178,
2004-06,1084,
2004-07,1077,
2004-08,1086,
2004-09,1095,
2004-10,468,
2004-11,462,
2004-12,460,
2005-01,450,
2005-02,460,
2005-03,425,
2005-04,454,
2005-05,473,
2005-06,464,
2005-07,419,
2005-08,417,
2005-09,390,
2005-10,380,
2005-11,385,
2005-12,394,
2006-01,464,
2006-02,467,
2006-03,482,
2006-04,505,
2006-05,460,
2006-06,458,
2006-07,472,
2006-08,483,
2006-09,495,
2006-10,516,
2006-11,527,
2006-12,530,
2007-01,547,
2007-02,545,
2007-03,540,
2007-04,584,
2007-05,597,
2007-06,604,
2007-07,574,
2007-08,555,
2007-09,299,
2007-10,306,
2007-11,256,
2007-12,260,
2008-01,204,
2008-02,203,
2008-03,181,
2008-04,228,
2008-05,228,
2008-06,204,
2008-07,187,
2008-08,187,
2008-09,199,
2008-10,173,
2008-11,172,
2008-12,171,
2009-01,169,
2009-02,165,
2009-03,168,
2009-04,1075,
2009-05,1105,
2009-06,1103,
2009-07,98,
2009-08,58,
2009-09,147,
2009-10,144,
2009-11,146,
2009-12,216,
2010-01,218,
2010-02,198,
2010-03,221,
2010-04,219,
2010-05,206,
2010-06,222,
2010-07,241,
2010-08,235,
2010-09,312,
2010-10,321,
2010-11,276,
2010-12,336,
2011-01,344,
2011-02,357,
2011-03,349,
2011-04,364,
2011-05,376,
2011-06,380,
2011-07,372,
2011-08,335,
2011-09,325,
2011-10,353,
2011-11,331,
2011-12,352,
2012-01,371,
2012-02,384,
2012-03,389,
2012-04,461,
2012-05,447,
2012-06,464,
2012-07,365,
2012-08,366,
2012-09,374,
2012-10,373,
2012-11,383,
2012-12,297,
2013-01,373,
2013-02,392,
2013-03,402,
2013-04,403,
2013-05,639,
2013-06,332,
2013-07,346,
2013-08,340,
2013-09,401,
2013-10,414,
2013-11,421,
2013-12,582,
2014-01,562,
2014-02,591,
2014-03,922,
2014-04,918,
2014-05,930,
2014-06,602,
2014-07,591,
2014-08,596,
2014-09,597,
2014-10,588,
2014-11,606,
