"",BBSF2.M.1.T.00000.DAK01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DAK01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:23,
2009-09,1111,
2009-10,1068,
2009-11,1096,
2009-12,1135,
2010-01,1052,
2010-02,1021,
2010-03,1078,
2010-04,1075,
2010-05,1044,
2010-06,856,
2010-07,845,
2010-08,930,
2010-09,960,
2010-10,972,
2010-11,991,
2010-12,1052,
2011-01,1025,
2011-02,1031,
2011-03,1006,
2011-04,1025,
2011-05,1030,
2011-06,1000,
2011-07,998,
2011-08,852,
2011-09,816,
2011-10,871,
2011-11,826,
2011-12,845,
2012-01,894,
2012-02,902,
2012-03,924,
2012-04,917,
2012-05,880,
2012-06,897,
2012-07,971,
2012-08,996,
2012-09,1021,
2012-10,1018,
2012-11,1008,
2012-12,1022,
2013-01,1028,
2013-02,1016,
2013-03,1061,
2013-04,1062,
2013-05,1063,
2013-06,1031,
2013-07,1069,
2013-08,1067,
2013-09,1069,
2013-10,1135,
2013-11,1154,
2013-12,1179,
2014-01,1145,
2014-02,1188,
2014-03,1187,
2014-04,1164,
2014-05,1218,
2014-06,1228,
2014-07,1215,
2014-08,1201,
2014-09,1214,
2014-10,1212,
2014-11,1265,
