"",BBK01.CEL00C,BBK01.CEL00C_FLAGS
"",Acquisition of financial assets total                                    debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:20,
1999-01,-6.1,
1999-04,5.4,
1999-07,-5.0,
1999-10,13.2,
2000-01,9.2,
2000-04,8.4,
2000-07,49.5,
2000-10,-22.4,
2001-01,-31.5,
2001-04,-5.3,
2001-07,-6.8,
2001-10,-7.5,
2002-01,-4.4,
2002-04,-9.1,
2002-07,-4.6,
2002-10,-9.8,
2003-01,6.0,
2003-04,2.1,
2003-07,-8.6,
2003-10,1.9,
2004-01,13.7,
2004-04,-6.1,
2004-07,-9.4,
2004-10,-11.0,
2005-01,-1.3,
2005-04,-1.5,
2005-07,-3.1,
2005-10,-1.4,
2006-01,-1.0,
2006-04,9.4,
2006-07,6.5,
2006-10,-3.0,
2007-01,-0.7,
2007-04,32.4,
2007-07,-23.7,
2007-10,10.5,
2008-01,13.9,
2008-04,41.6,
2008-07,-5.5,
2008-10,20.7,
2009-01,18.4,
2009-04,57.0,
2009-07,-24.3,
2009-10,-16.0,
2010-01,-10.1,
2010-04,34.7,
2010-07,-30.0,
2010-10,188.2,
2011-01,-8.9,
2011-04,20.1,
2011-07,3.2,
2011-10,-9.2,
2012-01,18.7,
2012-04,62.3,
2012-07,5.8,
2012-10,-14.3,
2013-01,-11.8,
2013-04,11.4,
2013-07,-25.4,
2013-10,20.1,
2014-01,-13.5,
2014-04,20.8,
2014-07,1.7,
