"",BBFN1.M.DE.N.1.A.NZ.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NZ.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / New Zealand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:46,
1994-07,0.084,
1994-08,0.084,
1994-09,0.087,
1994-10,0.092,
1994-11,0.090,
1994-12,0.081,
1995-01,0.087,
1995-02,0.085,
1995-03,0.084,
1995-04,0.085,
1995-05,0.090,
1995-06,0.094,
1995-07,0.095,
1995-08,0.090,
1995-09,0.099,
1995-10,0.093,
1995-11,0.093,
1995-12,0.086,
1996-01,0.085,
1996-02,0.080,
1996-03,0.087,
1996-04,0.090,
1996-05,0.096,
1996-06,0.099,
1996-07,0.100,
1996-08,0.099,
1996-09,0.101,
1996-10,0.097,
1996-11,0.101,
1996-12,0.102,
1997-01,0.102,
1997-02,0.094,
1997-03,0.100,
1997-04,0.090,
1997-05,0.098,
1997-06,0.096,
1997-07,0.100,
1997-08,0.098,
1997-09,0.111,
1997-10,0.104,
1997-11,0.106,
1997-12,0.091,
1998-01,0.085,
1998-02,0.092,
1998-03,0.085,
1998-04,0.087,
1998-05,0.086,
1998-06,0.092,
1998-07,0.096,
1998-08,0.103,
1998-09,0.092,
1998-10,0.092,
1998-11,0.086,
1998-12,0.088,
1999-01,0.088,
1999-02,0.083,
1999-03,0.083,
1999-04,0.093,
1999-05,0.094,
1999-06,0.096,
1999-07,0.099,
1999-08,0.098,
1999-09,0.111,
1999-10,0.111,
1999-11,0.099,
1999-12,0.115,
2000-01,0.109,
2000-02,0.108,
2000-03,0.115,
2000-04,0.116,
2000-05,0.118,
2000-06,0.120,
2000-07,0.122,
2000-08,0.135,
2000-09,0.136,
2000-10,0.136,
2000-11,0.126,
2000-12,0.117,
2001-01,0.121,
2001-02,0.131,
2001-03,0.130,
2001-04,0.125,
2001-05,0.145,
2001-06,0.158,
2001-07,0.155,
2001-08,0.160,
2001-09,0.164,
2001-10,0.153,
2001-11,0.160,
2001-12,0.145,
2002-01,0.129,
2002-02,0.133,
2002-03,0.122,
2002-04,0.119,
2002-05,0.130,
2002-06,0.150,
2002-07,0.150,
2002-08,0.139,
2002-09,0.138,
2002-10,0.137,
2002-11,0.137,
2002-12,0.134,
2003-01,0.131,
2003-02,0.138,
2003-03,0.131,
2003-04,0.134,
2003-05,0.143,
2003-06,0.146,
2003-07,0.141,
2003-08,0.135,
2003-09,0.129,
2003-10,0.129,
2003-11,0.127,
2003-12,0.126,
2004-01,0.119,
2004-02,0.111,
2004-03,0.112,
2004-04,0.108,
2004-05,0.106,
2004-06,0.121,
2004-07,0.133,
2004-08,0.134,
2004-09,0.130,
2004-10,0.133,
2004-11,0.130,
2004-12,0.126,
2005-01,0.131,
2005-02,0.127,
2005-03,0.128,
2005-04,0.126,
2005-05,0.140,
2005-06,0.148,
2005-07,0.148,
2005-08,0.153,
2005-09,0.148,
2005-10,0.118,
2005-11,0.124,
2005-12,0.109,
2006-01,0.117,
2006-02,0.105,
2006-03,0.118,
2006-04,0.115,
2006-05,0.120,
2006-06,0.126,
2006-07,0.124,
2006-08,0.135,
2006-09,0.141,
2006-10,0.131,
2006-11,0.133,
2006-12,0.123,
2007-01,0.120,
2007-02,0.117,
2007-03,0.123,
2007-04,0.120,
2007-05,0.127,
2007-06,0.162,
2007-07,0.143,
2007-08,0.158,
2007-09,0.148,
2007-10,0.145,
2007-11,0.138,
2007-12,0.125,
2008-01,0.117,
2008-02,0.121,
2008-03,0.127,
2008-04,0.139,
2008-05,0.146,
2008-06,0.150,
2008-07,0.153,
2008-08,0.155,
2008-09,0.146,
2008-10,0.141,
2008-11,0.135,
2008-12,0.121,
2009-01,0.108,
2009-02,0.110,
2009-03,0.095,
2009-04,0.100,
2009-05,0.102,
2009-06,0.105,
2009-07,0.105,
2009-08,0.106,
2009-09,0.109,
2009-10,0.104,
2009-11,0.100,
2009-12,0.099,
2010-01,0.097,
2010-02,0.094,
2010-03,0.108,
2010-04,0.103,
2010-05,0.120,
2010-06,0.129,
2010-07,0.128,
2010-08,0.126,
2010-09,0.121,
2010-10,0.127,
2010-11,0.124,
2010-12,0.126,
2011-01,0.128,
2011-02,0.124,
2011-03,0.138,
2011-04,0.132,
2011-05,0.140,
2011-06,0.150,
2011-07,0.159,
2011-08,0.153,
2011-09,0.165,
2011-10,0.164,
2011-11,0.151,
2011-12,0.149,
2012-01,0.138,
2012-02,0.139,
2012-03,0.136,
2012-04,0.131,
2012-05,0.134,
2012-06,0.147,
2012-07,0.148,
2012-08,0.153,
2012-09,0.163,
2012-10,0.154,
2012-11,0.155,
2012-12,0.147,
2013-01,0.127,
2013-02,0.130,
2013-03,0.126,
2013-04,0.135,
2013-05,0.128,
2013-06,0.142,
2013-07,0.156,
2013-08,0.153,
2013-09,0.173,
2013-10,0.184,
2013-11,0.181,
2013-12,0.241,
2014-01,0.176,
2014-02,0.188,
2014-03,0.188,
2014-04,0.165,
2014-05,0.176,
2014-06,0.167,
2014-07,0.198,
2014-08,0.205,
2014-09,0.186,
2014-10,0.180,
2014-11,0.164,
2014-12,0.246,
