"",BBK01.OEAE19R,BBK01.OEAE19R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:39,
2002-01,0.177,
2002-04,0.167,
2002-07,0.178,
2002-10,0.179,
2003-01,0.199,
2003-04,0.212,
2003-07,0.195,
2003-10,0.189,
2004-01,0.197,
2004-04,0.193,
2004-07,0.194,
2004-10,0.193,
2005-01,0.198,
2005-04,0.202,
2005-07,0.203,
2005-10,0.188,
2006-01,0.167,
2006-04,0.163,
2006-07,0.167,
2006-10,0.164,
2007-01,0.148,
2007-04,0.152,
2007-07,0.151,
2007-10,0.100,
2008-01,0.114,
2008-04,0.110,
2008-07,0.110,
2008-10,0.108,
2009-01,0.113,
2009-04,0.107,
2009-07,0.112,
2009-10,0.122,
2010-01,0.111,
2010-04,0.110,
2010-07,0.145,
2010-10,0.176,
2011-01,0.189,
2011-04,0.181,
2011-07,0.181,
2011-10,0.178,
2012-01,0.164,
2012-04,0.194,
2012-07,0.191,
2012-10,0.189,
2013-01,0.193,
2013-04,0.202,
2013-07,0.227,
2013-10,0.235,
2014-01,0.258,
2014-04,0.254,
2014-07,0.248,
