"",BBK01.OEHK01M,BBK01.OEHK01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:25,
2002-01,2.799,
2002-04,2.792,
2002-07,2.814,
2002-10,2.921,
2003-01,2.866,
2003-04,2.863,
2003-07,2.846,
2003-10,2.951,
2004-01,2.843,
2004-04,2.842,
2004-07,2.869,
2004-10,2.991,
2005-01,2.926,
2005-04,2.952,
2005-07,2.988,
2005-10,3.159,
2006-01,3.092,
2006-04,3.043,
2006-07,3.096,
2006-10,3.387,
2007-01,3.312,
2007-04,3.375,
2007-07,3.437,
2007-10,3.848,
2008-01,3.715,
2008-04,3.724,
2008-07,3.880,
2008-10,4.199,
2009-01,3.917,
2009-04,3.764,
2009-07,3.817,
2009-10,4.010,
2010-01,3.930,
2010-04,3.904,
2010-07,4.034,
2010-10,4.221,
2011-01,4.034,
2011-04,4.023,
2011-07,4.070,
2011-10,4.255,
2012-01,4.150,
2012-04,4.125,
2012-07,4.205,
2012-10,4.459,
2013-01,4.324,
2013-04,4.350,
2013-07,4.546,
2013-10,4.852,
2014-01,4.899,
2014-04,4.877,
2014-07,5.022,
