"",BBK01.OEAB16H,BBK01.OEAB16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:37,
2002-01,89.818,
2002-04,89.368,
2002-07,89.008,
2002-10,88.583,
2003-01,87.744,
2003-04,86.602,
2003-07,85.852,
2003-10,85.705,
2004-01,84.517,
2004-04,84.483,
2004-07,84.598,
2004-10,82.574,
2005-01,81.891,
2005-04,81.068,
2005-07,80.322,
2005-10,79.272,
2006-01,78.608,
2006-04,77.618,
2006-07,77.237,
2006-10,75.628,
2007-01,74.156,
2007-04,73.068,
2007-07,72.325,
2007-10,70.509,
2008-01,69.427,
2008-04,68.873,
2008-07,68.093,
2008-10,66.695,
2009-01,65.297,
2009-04,58.538,
2009-07,58.171,
2009-10,57.972,
2010-01,57.827,
2010-04,58.041,
2010-07,58.200,
2010-10,58.404,
2011-01,57.353,
2011-04,57.761,
2011-07,57.785,
2011-10,57.480,
2012-01,57.032,
2012-04,59.981,
2012-07,59.898,
2012-10,59.893,
2013-01,59.654,
2013-04,59.885,
2013-07,60.210,
2013-10,60.167,
2014-01,60.123,
2014-04,60.539,
2014-07,60.885,
