"",BBK01.OEAA29T,BBK01.OEAA29T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:28,
2002-01,3.617,
2002-04,3.623,
2002-07,3.614,
2002-10,3.625,
2003-01,3.554,
2003-04,3.551,
2003-07,3.525,
2003-10,3.504,
2004-01,3.499,
2004-04,3.493,
2004-07,3.463,
2004-10,3.467,
2005-01,3.402,
2005-04,3.383,
2005-07,3.359,
2005-10,3.335,
2006-01,3.281,
2006-04,3.274,
2006-07,3.260,
2006-10,3.250,
2007-01,3.211,
2007-04,3.206,
2007-07,3.201,
2007-10,3.204,
2008-01,3.152,
2008-04,3.141,
2008-07,3.122,
2008-10,3.114,
2009-01,3.128,
2009-04,3.246,
2009-07,3.238,
2009-10,3.257,
2010-01,3.257,
2010-04,3.261,
2010-07,3.354,
2010-10,3.281,
2011-01,3.273,
2011-04,3.284,
2011-07,3.292,
2011-10,3.325,
2012-01,3.301,
2012-04,3.514,
2012-07,3.541,
2012-10,3.571,
2013-01,3.563,
2013-04,3.556,
2013-07,3.580,
2013-10,3.564,
2014-01,3.577,
2014-04,3.578,
2014-07,3.610,
