"",BBK01.OEGK02I,BBK01.OEGK02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:14,
2002-01,0.383,
2002-04,0.385,
2002-07,0.360,
2002-10,0.374,
2003-01,0.381,
2003-04,0.382,
2003-07,0.857,
2003-10,0.878,
2004-01,0.837,
2004-04,0.899,
2004-07,0.860,
2004-10,0.838,
2005-01,0.832,
2005-04,0.826,
2005-07,0.860,
2005-10,1.118,
2006-01,0.985,
2006-04,0.964,
2006-07,0.955,
2006-10,0.579,
2007-01,0.596,
2007-04,0.575,
2007-07,0.564,
2007-10,0.585,
2008-01,0.548,
2008-04,0.529,
2008-07,0.530,
2008-10,0.573,
2009-01,0.723,
2009-04,0.869,
2009-07,0.954,
2009-10,1.081,
2010-01,1.141,
2010-04,1.185,
2010-07,1.212,
2010-10,1.248,
2011-01,1.172,
2011-04,1.170,
2011-07,1.184,
2011-10,1.202,
2012-01,1.095,
2012-04,1.164,
2012-07,1.179,
2012-10,1.231,
2013-01,1.135,
2013-04,1.160,
2013-07,1.191,
2013-10,1.224,
2014-01,1.253,
2014-04,1.309,
2014-07,1.360,
