"",BBFB1.Q.N.DE.U3.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:59,
1999-01,846.183,
1999-04,1596.351,
1999-07,2539.388,
1999-10,1253.070,
2000-01,991.325,
2000-04,1839.518,
2000-07,2986.914,
2000-10,1415.954,
2001-01,1021.139,
2001-04,1937.482,
2001-07,3271.979,
2001-10,1451.434,
2002-01,1127.706,
2002-04,1807.787,
2002-07,3219.258,
2002-10,1277.145,
2003-01,1066.214,
2003-04,2215.273,
2003-07,3960.369,
2003-10,1436.789,
2004-01,1204.179,
2004-04,2491.163,
2004-07,4008.895,
2004-10,1656.212,
2005-01,1606.643,
2005-04,2415.088,
2005-07,3865.658,
2005-10,1833.353,
2006-01,1457.251,
2006-04,2199.621,
2006-07,4344.449,
2006-10,1811.093,
2007-01,1599.564,
2007-04,2737.765,
2007-07,4149.289,
2007-10,1872.991,
2008-01,1864.806,
2008-04,2362.159,
2008-07,4100.653,
2008-10,2072.870,
2009-01,1445.013,
2009-04,2496.893,
2009-07,4180.337,
2009-10,1870.939,
2010-01,1311.722,
2010-04,2397.011,
2010-07,3865.345,
2010-10,1828.223,
2011-01,1257.235,
2011-04,2686.215,
2011-07,4458.431,
2011-10,1860.828,
2012-01,1218.251,
2012-04,2253.897,
2012-07,4575.004,
2012-10,1930.085,
2013-01,1317.460,
2013-04,2550.593,
2013-07,5122.037,
2013-10,2274.540,
2014-01,1450.848,Provisional value
2014-04,2752.018,Provisional value
2014-07,5394.987,Provisional value
2014-10,2292.471,Provisional value
