"",BBFB1.Q.N.DE.BE.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:55,
1991-01,8.151,
1991-04,32.494,
1991-07,11.734,
1991-10,16.110,
1992-01,18.843,
1992-04,33.447,
1992-07,15.743,
1992-10,17.535,
1993-01,14.289,
1993-04,24.226,
1993-07,23.645,
1993-10,50.760,
1994-01,23.993,
1994-04,39.174,
1994-07,18.854,
1994-10,19.603,
1995-01,21.297,
1995-04,36.324,
1995-07,19.691,
1995-10,20.848,
1996-01,22.107,
1996-04,30.018,
1996-07,38.707,
1996-10,28.703,
1997-01,28.445,
1997-04,40.116,
1997-07,27.766,
1997-10,24.688,
1998-01,27.310,
1998-04,81.720,
1998-07,-9.413,
1998-10,16.479,
1999-01,30.987,
1999-04,79.805,
1999-07,34.250,
1999-10,45.602,
2000-01,30.985,
2000-04,87.099,
2000-07,162.828,
2000-10,41.542,
2001-01,46.821,
2001-04,16.564,
2001-07,37.247,
2001-10,40.557,
2002-01,51.696,
2002-04,221.640,
2002-07,39.505,
2002-10,-5.872,
2003-01,49.043,
2003-04,146.760,
2003-07,42.490,
2003-10,39.161,
2004-01,52.873,
2004-04,146.751,
2004-07,35.648,
2004-10,27.455,
2005-01,65.851,
2005-04,199.830,
2005-07,51.033,
2005-10,38.105,
2006-01,62.105,
2006-04,285.810,
2006-07,55.730,
2006-10,51.893,
2007-01,62.262,
2007-04,370.584,
2007-07,36.174,
2007-10,43.592,
2008-01,74.370,
2008-04,366.584,
2008-07,53.865,
2008-10,53.620,
2009-01,75.680,
2009-04,283.586,
2009-07,45.540,
2009-10,48.651,
2010-01,82.822,
2010-04,359.235,
2010-07,47.715,
2010-10,50.371,
2011-01,92.495,
2011-04,405.581,
2011-07,77.706,
2011-10,71.293,
2012-01,87.208,
2012-04,257.113,
2012-07,80.799,
2012-10,17.859,
2013-01,77.099,
2013-04,152.251,
2013-07,79.754,
2013-10,91.079,
2014-01,113.874,Provisional value
2014-04,475.209,Provisional value
2014-07,94.071,Provisional value
