"",BBSF2.M.1.S.I0002.TOT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.TOT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:24,
2004-01,307,
2004-02,3619,
2004-03,5717,
2004-04,11287,
2004-05,11259,
2004-06,13125,
2004-07,15229,
2004-08,15822,
2004-09,16056,
2004-10,16488,
2004-11,16760,
2004-12,15451,
2005-01,16222,
2005-02,16612,
2005-03,17192,
2005-04,17467,
2005-05,19992,
2005-06,20637,
2005-07,21622,
2005-08,25009,
2005-09,28261,
2005-10,67006,
2005-11,68126,
2005-12,70432,
2006-01,74483,
2006-02,74927,
2006-03,76203,
2006-04,76669,
2006-05,75207,
2006-06,75699,
2006-07,75730,
2006-08,77035,
2006-09,85056,
2006-10,86107,
2006-11,86832,
2006-12,87533,
2007-01,88978,
2007-02,91611,
2007-03,91674,
2007-04,94035,
2007-05,95236,
2007-06,95418,
2007-07,95156,
2007-08,94668,
2007-09,95087,
2007-10,97789,
2007-11,96231,
2007-12,93691,
2008-01,92382,
2008-02,92687,
2008-03,90976,
2008-04,92185,
2008-05,93013,
2008-06,89846,
2008-07,90031,
2008-08,90962,
2008-09,86901,
2008-10,87087,
2008-11,95013,
2008-12,95085,
2009-01,95329,
2009-02,93496,
2009-03,97401,
2009-04,100830,
2009-05,102147,
2009-06,102068,
2009-07,104596,
2009-08,106073,
2009-09,104774,
2009-10,107694,
2009-11,109969,
2009-12,114209,
2010-01,114098,
2010-02,115513,
2010-03,119378,
2010-04,120226,
2010-05,120104,
2010-06,120120,
2010-07,123622,
2010-08,125673,
2010-09,127890,
2010-10,126914,
2010-11,127607,
2010-12,130766,
2011-01,130819,
2011-02,136731,
2011-03,136693,
2011-04,138293,
2011-05,138923,
2011-06,138331,
2011-07,139492,
2011-08,136023,
2011-09,134421,
2011-10,138789,
2011-11,138031,
2011-12,140753,
2012-01,147080,
2012-02,150067,
2012-03,151485,
2012-04,153116,
2012-05,152786,
2012-06,158622,
2012-07,163820,
2012-08,166607,
2012-09,169087,
2012-10,170525,
2012-11,173772,
2012-12,180365,
2013-01,182490,
2013-02,184348,
2013-03,187283,
2013-04,192346,
2013-05,190561,
2013-06,185703,
2013-07,192248,
2013-08,190904,
2013-09,199465,
2013-10,203961,
2013-11,205908,
2013-12,206821,
2014-01,207890,
2014-02,209811,
2014-03,216830,
2014-04,218957,
2014-05,222584,
2014-06,225372,
2014-07,227388,
2014-08,232939,
2014-09,232847,
2014-10,241452,
2014-11,246468,
