"",BBFB1.Q.N.DE.KR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"","Financial account (excl. Reserve assets) / Net domestic investment abroad / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:00,
1991-01,8.657,
1991-04,240.676,
1991-07,227.241,
1991-10,57.081,
1992-01,119.902,
1992-04,197.721,
1992-07,11.932,
1992-10,363.025,
1993-01,297.630,
1993-04,-1.148,
1993-07,-84.309,
1993-10,143.440,
1994-01,-14.838,
1994-04,-22.567,
1994-07,-4.395,
1994-10,60.982,
1995-01,1170.771,
1995-04,351.612,
1995-07,436.374,
1995-10,398.496,
1996-01,277.878,
1996-04,-160.323,
1996-07,850.733,
1996-10,-448.322,
1997-01,1421.005,
1997-04,391.114,
1997-07,-254.296,
1997-10,-1573.232,
1998-01,-674.880,
1998-04,873.106,
1998-07,300.972,
1998-10,136.643,
1999-01,348.722,
1999-04,-149.452,
1999-07,659.888,
1999-10,-552.240,
2000-01,684.802,
2000-04,-391.936,
2000-07,178.538,
2000-10,1565.352,
2001-01,237.689,
2001-04,-198.963,
2001-07,227.284,
2001-10,296.530,
2002-01,611.835,
2002-04,-165.952,
2002-07,554.381,
2002-10,-431.039,
2003-01,346.907,
2003-04,1242.728,
2003-07,1522.469,
2003-10,-1265.620,
2004-01,673.771,
2004-04,16.697,
2004-07,-993.128,
2004-10,-216.810,
2005-01,1243.332,
2005-04,-656.708,
2005-07,258.251,
2005-10,-191.194,
2006-01,1709.995,
2006-04,3301.633,
2006-07,507.954,
2006-10,82.185,
2007-01,120.152,
2007-04,724.105,
2007-07,-719.372,
2007-10,361.040,
2008-01,2201.614,
2008-04,1047.695,
2008-07,-164.320,
2008-10,-5925.441,
2009-01,-1804.987,
2009-04,-128.275,
2009-07,281.117,
2009-10,36.167,
2010-01,-57.861,
2010-04,621.918,
2010-07,87.752,
2010-10,2023.411,
2011-01,542.859,
2011-04,-306.560,
2011-07,-511.539,
2011-10,158.838,
2012-01,350.710,
2012-04,-130.986,
2012-07,89.948,
2012-10,-506.533,
2013-01,2997.159,
2013-04,312.627,
2013-07,-418.610,
2013-10,2329.419,
2014-01,1140.466,Provisional value
2014-04,388.780,Provisional value
2014-07,1711.714,Provisional value
2014-10,-3930.580,Provisional value
