"",BBFB1.Q.N.DE.1A.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:53,
1991-01,238.073,
1991-04,204.133,
1991-07,132.768,
1991-10,-201.216,
1992-01,-136.354,
1992-04,-36.908,
1992-07,-717.265,
1992-10,-40.353,
1993-01,569.399,
1993-04,403.924,
1993-07,249.711,
1993-10,320.596,
1994-01,65.817,
1994-04,290.093,
1994-07,-193.670,
1994-10,420.911,
1995-01,-125.111,
1995-04,447.750,
1995-07,8.528,
1995-10,211.490,
1996-01,-128.560,
1996-04,644.355,
1996-07,-413.251,
1996-10,810.240,
1997-01,-138.128,
1997-04,125.714,
1997-07,190.044,
1997-10,571.323,
1998-01,600.745,
1998-04,1995.990,
1998-07,-1196.814,
1998-10,1406.834,
1999-01,742.326,
1999-04,121.009,
1999-07,-227.864,
1999-10,-369.127,
2000-01,392.244,
2000-04,-1343.727,
2000-07,24.667,
2000-10,-393.689,
2001-01,34.839,
2001-04,170.138,
2001-07,-465.269,
2001-10,-15.927,
2002-01,-320.030,
2002-04,532.316,
2002-07,-439.526,
2002-10,-132.482,
2003-01,263.612,
2003-04,558.576,
2003-07,-39.275,
2003-10,-215.764,
2004-01,249.341,
2004-04,-207.375,
2004-07,127.157,
2004-10,393.371,
2005-01,664.016,
2005-04,-182.180,
2005-07,209.295,
2005-10,621.968,
2006-01,-380.260,
2006-04,1438.066,
2006-07,116.640,
2006-10,571.519,
2007-01,-800.482,
2007-04,921.686,
2007-07,-753.171,
2007-10,-374.647,
2008-01,327.547,
2008-04,1013.192,
2008-07,-165.982,
2008-10,-476.889,
2009-01,107.525,
2009-04,1559.139,
2009-07,-233.042,
2009-10,141.268,
2010-01,-236.488,
2010-04,178.370,
2010-07,683.534,
2010-10,-277.264,
2011-01,-13.043,
2011-04,-264.456,
2011-07,187.746,
2011-10,-289.033,
2012-01,135.013,
2012-04,20.106,
2012-07,260.877,
2012-10,-10.147,
2013-01,-200.368,
2013-04,389.672,
2013-07,1179.304,
2013-10,192.995,
2014-01,732.604,Provisional value
2014-04,-134.246,Provisional value
2014-07,394.011,Provisional value
2014-10,-121.248,Provisional value
