"",BBK01.OEAD10K,BBK01.OEAD10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:35,
2002-01,1.689,
2002-04,1.649,
2002-07,1.567,
2002-10,1.597,
2003-01,1.492,
2003-04,1.442,
2003-07,1.295,
2003-10,1.351,
2004-01,1.366,
2004-04,1.279,
2004-07,1.250,
2004-10,1.174,
2005-01,1.195,
2005-04,1.117,
2005-07,1.270,
2005-10,1.244,
2006-01,1.363,
2006-04,1.530,
2006-07,1.375,
2006-10,1.268,
2007-01,1.166,
2007-04,1.174,
2007-07,1.121,
2007-10,1.209,
2008-01,1.272,
2008-04,1.275,
2008-07,1.229,
2008-10,1.182,
2009-01,1.122,
2009-04,1.043,
2009-07,0.964,
2009-10,0.946,
2010-01,1.048,
2010-04,1.041,
2010-07,1.165,
2010-10,1.206,
2011-01,1.240,
2011-04,1.230,
2011-07,1.190,
2011-10,1.194,
2012-01,1.165,
2012-04,1.065,
2012-07,1.050,
2012-10,1.124,
2013-01,1.033,
2013-04,1.113,
2013-07,1.113,
2013-10,1.027,
2014-01,0.989,
2014-04,0.944,
2014-07,0.954,
