"",BBK01.OEAC54O,BBK01.OEAC54O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:28,
2002-01,15.286,
2002-04,16.075,
2002-07,16.757,
2002-10,16.734,
2003-01,16.461,
2003-04,15.588,
2003-07,14.870,
2003-10,17.023,
2004-01,17.121,
2004-04,17.445,
2004-07,17.533,
2004-10,17.612,
2005-01,17.709,
2005-04,17.892,
2005-07,17.839,
2005-10,17.875,
2006-01,17.682,
2006-04,17.574,
2006-07,17.625,
2006-10,17.471,
2007-01,17.487,
2007-04,17.458,
2007-07,17.363,
2007-10,17.397,
2008-01,17.437,
2008-04,17.504,
2008-07,16.117,
2008-10,15.386,
2009-01,15.105,
2009-04,14.799,
2009-07,14.828,
2009-10,15.923,
2010-01,16.054,
2010-04,16.256,
2010-07,16.207,
2010-10,16.378,
2011-01,15.940,
2011-04,15.870,
2011-07,15.682,
2011-10,15.553,
2012-01,15.883,
2012-04,16.551,
2012-07,16.362,
2012-10,16.564,
2013-01,16.406,
2013-04,16.209,
2013-07,19.084,
2013-10,19.558,
2014-01,19.629,
2014-04,19.570,
2014-07,19.360,
