"",BBK01.OEAE21G,BBK01.OEAE21G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:56,
2002-01,0.656,
2002-04,0.601,
2002-07,0.724,
2002-10,1.174,
2003-01,1.241,
2003-04,1.248,
2003-07,1.183,
2003-10,1.144,
2004-01,1.159,
2004-04,1.221,
2004-07,1.145,
2004-10,1.058,
2005-01,1.231,
2005-04,0.778,
2005-07,0.761,
2005-10,0.617,
2006-01,0.565,
2006-04,0.519,
2006-07,0.542,
2006-10,0.466,
2007-01,0.615,
2007-04,0.592,
2007-07,0.703,
2007-10,0.678,
2008-01,0.729,
2008-04,0.821,
2008-07,0.800,
2008-10,0.814,
2009-01,2.167,
2009-04,2.430,
2009-07,2.428,
2009-10,1.250,
2010-01,2.384,
2010-04,2.235,
2010-07,3.294,
2010-10,3.181,
2011-01,3.166,
2011-04,2.317,
2011-07,2.407,
2011-10,2.329,
2012-01,1.754,
2012-04,1.846,
2012-07,1.426,
2012-10,1.522,
2013-01,1.220,
2013-04,1.216,
2013-07,1.008,
2013-10,1.002,
2014-01,0.985,
2014-04,0.986,
2014-07,0.948,
