"",BBK01.OEAC51K,BBK01.OEAC51K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:05,
2002-01,1.168,
2002-04,1.167,
2002-07,1.275,
2002-10,1.201,
2003-01,1.158,
2003-04,1.135,
2003-07,1.102,
2003-10,1.066,
2004-01,0.890,
2004-04,0.913,
2004-07,0.902,
2004-10,0.902,
2005-01,0.869,
2005-04,0.871,
2005-07,0.853,
2005-10,0.833,
2006-01,0.803,
2006-04,0.650,
2006-07,0.623,
2006-10,0.625,
2007-01,0.601,
2007-04,0.589,
2007-07,0.568,
2007-10,0.546,
2008-01,0.537,
2008-04,0.732,
2008-07,0.750,
2008-10,0.739,
2009-01,0.712,
2009-04,0.732,
2009-07,0.735,
2009-10,0.724,
2010-01,0.717,
2010-04,0.743,
2010-07,0.749,
2010-10,0.742,
2011-01,0.819,
2011-04,0.830,
2011-07,0.828,
2011-10,0.852,
2012-01,0.856,
2012-04,0.862,
2012-07,0.872,
2012-10,0.874,
2013-01,0.872,
2013-04,0.857,
2013-07,0.865,
2013-10,0.757,
2014-01,0.746,
2014-04,0.753,
2014-07,0.761,
