"",BBK01.OEAH72U,BBK01.OEAH72U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:36,
2002-01,0.396,
2002-04,0.456,
2002-07,0.444,
2002-10,0.556,
2003-01,0.467,
2003-04,0.533,
2003-07,0.497,
2003-10,0.600,
2004-01,0.535,
2004-04,0.581,
2004-07,0.628,
2004-10,0.649,
2005-01,0.618,
2005-04,0.642,
2005-07,0.670,
2005-10,0.737,
2006-01,0.663,
2006-04,0.654,
2006-07,0.666,
2006-10,0.626,
2007-01,0.526,
2007-04,0.632,
2007-07,0.585,
2007-10,0.607,
2008-01,0.543,
2008-04,0.530,
2008-07,0.517,
2008-10,0.865,
2009-01,1.018,
2009-04,1.097,
2009-07,1.202,
2009-10,1.166,
2010-01,1.133,
2010-04,1.074,
2010-07,1.161,
2010-10,1.193,
2011-01,1.133,
2011-04,1.060,
2011-07,1.044,
2011-10,0.980,
2012-01,0.842,
2012-04,0.841,
2012-07,0.919,
2012-10,0.887,
2013-01,0.901,
2013-04,0.973,
2013-07,0.896,
2013-10,0.994,
2014-01,0.905,
2014-04,0.858,
2014-07,0.901,
