"",BBK01.TVE308,BBK01.TVE308_FLAGS
"",Money stock M3 / Money market fund shares (net) / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:36,
1997-10,-6184,
1997-11,3463,
1997-12,-7801,
1998-01,7557,
1998-02,1715,
1998-03,-323,
1998-04,2651,
1998-05,2735,
1998-06,-1249,
1998-07,-1733,
1998-08,5091,
1998-09,-3095,
1998-10,-2078,
1998-11,635,
1998-12,-17231,
1999-01,13233,
1999-02,11978,
1999-03,-2350,
1999-04,15117,
1999-05,-1539,
1999-06,7450,
1999-07,-5329,
1999-08,5805,
1999-09,-559,
1999-10,-845,
1999-11,3596,
1999-12,-13459,
2000-01,10743,
2000-02,9680,
2000-03,-1202,
2000-04,8700,
2000-05,619,
2000-06,-8547,
2000-07,-3039,
2000-08,3273,
2000-09,-8899,
2000-10,2486,
2000-11,6116,
2000-12,-9365,
2001-01,13920,
2001-02,5712,
2001-03,11799,
2001-04,8471,
2001-05,9756,
2001-06,-1865,
2001-07,9460,
2001-08,10621,
2001-09,3246,
2001-10,11498,
2001-11,9707,
2001-12,-1329,
2002-01,19544,
2002-02,10354,
2002-03,3271,
2002-04,7878,
2002-05,4037,
2002-06,-7367,
2002-07,11955,
2002-08,12418,
2002-09,-2167,
2002-10,2004,
2002-11,14733,
2002-12,-6640,
2003-01,19866,
2003-02,11737,
2003-03,9139,
2003-04,9285,
2003-05,6639,
2003-06,-1594,
2003-07,9709,
2003-08,2243,
2003-09,-8222,
2003-10,5144,
2003-11,-3768,
2003-12,-3400,
2004-01,9556,
2004-02,7413,
2004-03,5325,
2004-04,8008,
2004-05,-2085,
2004-06,-3738,
2004-07,3902,
2004-08,11009,
2004-09,-13283,
2004-10,7365,
2004-11,-3210,
2004-12,-8036,
2005-01,12428,
2005-02,-1867,
2005-03,-813,
2005-04,13786,
2005-05,7331,
2005-06,-14465,
2005-07,12856,
2005-08,4080,
2005-09,-6920,
2005-10,-5988,
2005-11,-9284,
2005-12,-14194,
2006-01,6589,
2006-02,3225,
2006-03,-836,
2006-04,10131,
2006-05,9946,
2006-06,-5196,
2006-07,11995,
2006-08,2718,
2006-09,-4859,
2006-10,2212,
2006-11,13226,
2006-12,-21564,
2007-01,28555,
2007-02,10806,
2007-03,14533,
2007-04,17631,
2007-05,15948,
2007-06,-3134,
2007-07,14463,
2007-08,-6934,
2007-09,-24532,
2007-10,12117,
2007-11,11662,
2007-12,-36498,
2008-01,43840,
2008-02,11584,
2008-03,-1749,
2008-04,9308,
2008-05,4715,
2008-06,-23098,
2008-07,8817,
2008-08,14591,
2008-09,-27644,
2008-10,-1336,
2008-11,10064,
2008-12,-19322,
2009-01,34594,
2009-02,20490,
2009-03,854,
2009-04,2216,
2009-05,502,
2009-06,-22668,
2009-07,15777,
2009-08,1045,
2009-09,-19566,
2009-10,-4779,
2009-11,-14990,
2009-12,-26359,
2010-01,4553,
2010-02,-8307,
2010-03,-16601,
2010-04,1925,
2010-05,-4051,
2010-06,-24370,
2010-07,-8433,
2010-08,11683,
2010-09,-18837,
2010-10,-14939,
2010-11,12957,
2010-12,-33964,
2011-01,-5207,
2011-02,2892,
2011-03,-2124,
2011-04,2185,
2011-05,-3461,
2011-06,-20638,
2011-07,-7069,
2011-08,21968,
2011-09,-11034,
2011-10,-8363,
2011-11,6464,
2011-12,-4652,
2012-01,10694,
2012-02,1990,
2012-03,10631,
2012-04,9658,
2012-05,12636,
2012-06,-23348,
2012-07,-1292,
2012-08,4312,
2012-09,-20661,
2012-10,5333,
2012-11,-1224,
2012-12,-26948,
2013-01,7238,
2013-02,6258,
2013-03,-5945,
2013-04,-402,
2013-05,-3398,
2013-06,-19607,
2013-07,-1089,
2013-08,9460,
2013-09,-26435,
2013-10,1303,
2013-11,-1142,
2013-12,-12828,
2014-01,25312,
2014-02,-751,
2014-03,-17637,
2014-04,5365,
2014-05,-4100,
2014-06,-12872,
2014-07,16868,
2014-08,3746,
2014-09,-11631,
2014-10,14621,
2014-11,5607,
2014-12,-17483,
2015-01,19861,
