"",BBK01.OEAD23L,BBK01.OEAD23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:59,
2002-01,0.082,
2002-04,0.110,
2002-07,0.061,
2002-10,0.062,
2003-01,0.058,
2003-04,0.072,
2003-07,0.076,
2003-10,0.083,
2004-01,0.093,
2004-04,0.077,
2004-07,0.082,
2004-10,0.077,
2005-01,0.073,
2005-04,0.064,
2005-07,0.061,
2005-10,0.062,
2006-01,0.087,
2006-04,0.089,
2006-07,0.127,
2006-10,0.144,
2007-01,0.159,
2007-04,0.128,
2007-07,0.132,
2007-10,1.290,
2008-01,1.300,
2008-04,1.306,
2008-07,1.318,
2008-10,1.154,
2009-01,1.387,
2009-04,1.281,
2009-07,1.215,
2009-10,1.195,
2010-01,1.105,
2010-04,1.094,
2010-07,0.877,
2010-10,0.668,
2011-01,0.771,
2011-04,0.713,
2011-07,0.831,
2011-10,0.833,
2012-01,0.786,
2012-04,0.797,
2012-07,0.572,
2012-10,0.444,
2013-01,0.467,
2013-04,0.505,
2013-07,0.435,
2013-10,0.457,
2014-01,0.473,
2014-04,0.324,
2014-07,0.326,
