"",BBK01.CEBB02,BBK01.CEBB02_FLAGS
"",Long-term debt securities\n debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:30,
1991-01,488.5,
1991-04,500.4,
1991-07,514.6,
1991-10,524.3,
1992-01,546.6,
1992-04,562.9,
1992-07,590.4,
1992-10,636.5,
1993-01,674.1,
1993-04,684.8,
1993-07,725.2,
1993-10,768.6,
1994-01,777.6,
1994-04,772.8,
1994-07,784.6,
1994-10,792.8,
1995-01,786.1,
1995-04,808.3,
1995-07,840.4,
1995-10,889.0,
1996-01,910.5,
1996-04,932.3,
1996-07,961.5,
1996-10,989.3,
1997-01,1046.7,
1997-04,1082.3,
1997-07,1100.0,
1997-10,1092.0,
1998-01,1163.2,
1998-04,1219.9,
1998-07,1257.8,
1998-10,1306.3,
1999-01,1308.5,
1999-04,1339.1,
1999-07,1317.1,
1999-10,1305.7,
2000-01,1354.5,
2000-04,1371.0,
2000-07,1399.0,
2000-10,1403.5,
2001-01,1463.6,
2001-04,1484.8,
2001-07,1492.6,
2001-10,1517.4,
2002-01,1520.4,
2002-04,1536.2,
2002-07,1588.8,
2002-10,1582.5,
2003-01,1644.1,
2003-04,1696.0,
2003-07,1662.5,
2003-10,1671.2,
2004-01,1773.2,
2004-04,1768.8,
2004-07,1813.6,
2004-10,1844.3,
2005-01,1900.1,
2005-04,1998.7,
2005-07,1998.3,
2005-10,1972.4,
2006-01,1960.1,
2006-04,1959.5,
2006-07,1983.2,
2006-10,1995.3,
2007-01,2026.0,
2007-04,2005.4,
2007-07,1989.8,
2007-10,1988.7,
2008-01,2030.1,
2008-04,2000.6,
2008-07,2014.6,
2008-10,2126.3,
2009-01,2182.5,
2009-04,2221.6,
2009-07,2292.8,
2009-10,2288.0,
2010-01,2347.2,
2010-04,2394.7,
2010-07,2398.1,
2010-10,2287.2,
2011-01,2228.3,
2011-04,2234.6,
2011-07,2302.3,
2011-10,2306.3,
2012-01,2366.7,
2012-04,2416.1,
2012-07,2449.1,
2012-10,2468.3,
2013-01,2452.6,
2013-04,2419.8,
2013-07,2384.3,
2013-10,2400.2,
2014-01,2462.7,
