"",BBFN1.M.DE.N.1.L.FR.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FR.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1988-12,0.721,
1989-01,0.715,
1989-02,0.737,
1989-03,0.717,
1989-04,0.701,
1989-05,0.759,
1989-06,0.771,
1989-07,0.801,
1989-08,0.761,
1989-09,0.712,
1989-10,1.269,
1989-11,1.129,
1989-12,0.790,
1990-01,0.786,
1990-02,0.850,
1990-03,0.944,
1990-04,1.048,
1990-05,0.948,
1990-06,0.981,
1990-07,0.987,
1990-08,0.992,
1990-09,0.893,
1990-10,0.954,
1990-11,1.012,
1990-12,1.015,
1991-01,1.060,
1991-02,1.027,
1991-03,1.137,
1991-04,1.158,
1991-05,1.142,
1991-06,1.191,
1991-07,1.210,
1991-08,1.138,
1991-09,1.010,
1991-10,1.116,
1991-11,1.149,
1991-12,1.110,
1992-01,0.989,
1992-02,0.921,
1992-03,0.935,
1992-04,0.864,
1992-05,0.795,
1992-06,0.823,
1992-07,0.811,
1992-08,0.820,
1992-09,0.911,
1992-10,0.578,
1992-11,0.556,
1992-12,0.646,
1993-01,0.526,
1993-02,0.608,
1993-03,0.700,
1993-04,0.427,
1993-05,0.434,
1993-06,0.424,
1993-07,0.403,
1993-08,0.328,
1993-09,0.354,
1993-10,0.332,
1993-11,0.379,
1993-12,0.272,
1994-01,0.283,
1994-02,0.528,
1994-03,0.328,
1994-04,0.433,
1994-05,0.365,
1994-06,0.335,
1994-07,0.297,
1994-08,0.306,
1994-09,0.344,
1994-10,0.381,
1994-11,0.420,
1994-12,0.357,
1995-01,0.449,
1995-02,0.481,
1995-03,0.473,
1995-04,0.419,
1995-05,0.388,
1995-06,0.522,
1995-07,0.387,
1995-08,0.409,
1995-09,0.588,
1995-10,0.534,
1995-11,0.475,
1995-12,0.487,
1996-01,0.555,
1996-02,0.715,
1996-03,0.512,
1996-04,0.879,
1996-05,0.644,
1996-06,1.172,
1996-07,0.994,
1996-08,0.842,
1996-09,1.309,
1996-10,1.070,
1996-11,1.062,
1996-12,1.234,
1997-01,0.909,
1997-02,1.587,
1997-03,0.663,
1997-04,1.722,
1997-05,2.584,
1997-06,2.696,
1997-07,1.994,
1997-08,1.083,
1997-09,1.093,
1997-10,1.674,
1997-11,1.302,
1997-12,0.896,
1998-01,1.405,
1998-02,1.446,
1998-03,2.275,
1998-04,1.622,
1998-05,1.645,
1998-06,1.162,
1998-07,1.191,
1998-08,1.106,
1998-09,0.978,
1998-10,0.961,
1998-11,1.051,
1998-12,0.952,
1999-01,0.925,
1999-02,1.095,
1999-03,1.039,
1999-04,0.933,
1999-05,0.909,
1999-06,0.915,
1999-07,1.071,
1999-08,1.065,
1999-09,1.074,
1999-10,1.001,
1999-11,0.974,
1999-12,0.870,
2000-01,0.453,
2000-02,0.467,
2000-03,0.494,
2000-04,0.457,
2000-05,0.401,
2000-06,0.457,
2000-07,0.729,
2000-08,0.751,
2000-09,0.679,
2000-10,0.781,
2000-11,0.714,
2000-12,0.488,
2001-01,0.685,
2001-02,0.932,
2001-03,0.778,
2001-04,0.819,
2001-05,1.116,
2001-06,0.550,
2001-07,0.930,
2001-08,1.015,
2001-09,0.828,
2001-10,1.083,
2001-11,1.296,
2001-12,0.615,
2002-01,1.244,
2002-02,1.186,
2002-03,0.935,
2002-04,1.248,
2002-05,1.218,
2002-06,0.646,
2002-07,1.783,
2002-08,1.894,
2002-09,1.568,
2002-10,1.633,
2002-11,1.448,
2002-12,0.941,
2003-01,1.804,
2003-02,1.546,
2003-03,1.275,
2003-04,1.514,
2003-05,1.504,
2003-06,1.186,
2003-07,2.140,
2003-08,2.209,
2003-09,1.705,
2003-10,1.653,
2003-11,1.736,
2003-12,0.935,
2004-01,1.649,
2004-02,2.239,
2004-03,2.023,
2004-04,2.291,
2004-05,2.315,
2004-06,2.824,
2004-07,3.148,
2004-08,3.065,
2004-09,3.891,
2004-10,4.253,
2004-11,3.800,
2004-12,2.851,
2005-01,2.939,
2005-02,3.540,
2005-03,2.715,
2005-04,2.987,
2005-05,3.216,
2005-06,2.693,
2005-07,3.582,
2005-08,3.669,
2005-09,3.161,
2005-10,3.618,
2005-11,2.862,
2005-12,1.745,
2006-01,2.377,
2006-02,2.960,
2006-03,2.731,
2006-04,3.024,
2006-05,3.156,
2006-06,3.604,
2006-07,4.023,
2006-08,3.849,
2006-09,3.664,
2006-10,3.363,
2006-11,3.338,
2006-12,2.083,
2007-01,2.217,
2007-02,3.566,
2007-03,3.243,
2007-04,3.323,
2007-05,3.098,
2007-06,3.659,
2007-07,4.140,
2007-08,3.786,
2007-09,3.086,
2007-10,2.994,
2007-11,3.367,
2007-12,2.785,
2008-01,3.488,
2008-02,4.334,
2008-03,4.390,
2008-04,5.397,
2008-05,6.141,
2008-06,5.196,
2008-07,5.336,
2008-08,5.071,
2008-09,5.110,
2008-10,5.477,
2008-11,3.689,
2008-12,3.330,
2009-01,3.332,
2009-02,3.909,
2009-03,4.032,
2009-04,4.270,
2009-05,5.064,
2009-06,4.658,
2009-07,5.505,
2009-08,4.812,
2009-09,4.924,
2009-10,5.811,
2009-11,5.755,
2009-12,6.540,
2010-01,5.760,
2010-02,6.263,
2010-03,5.958,
2010-04,5.607,
2010-05,6.623,
2010-06,6.759,
2010-07,7.819,
2010-08,9.453,
2010-09,8.275,
2010-10,8.972,
2010-11,7.668,
2010-12,9.679,
2011-01,10.843,
2011-02,10.675,
2011-03,12.684,
2011-04,13.167,
2011-05,14.121,
2011-06,15.898,
2011-07,18.373,
2011-08,15.423,
2011-09,20.206,
2011-10,20.703,
2011-11,16.075,
2011-12,14.338,
2012-01,15.187,
2012-02,12.132,
2012-03,11.781,
2012-04,14.183,
2012-05,16.739,
2012-06,16.916,
2012-07,11.892,
2012-08,10.810,
2012-09,19.277,
2012-10,14.958,
2012-11,14.921,
2012-12,13.753,
2013-01,8.738,
2013-02,8.107,
2013-03,12.875,
2013-04,17.403,
2013-05,15.872,
2013-06,21.672,
2013-07,15.372,
2013-08,17.053,
2013-09,21.844,
2013-10,16.571,
2013-11,19.216,
2013-12,13.598,
2014-01,15.662,
2014-02,10.689,
2014-03,13.009,
2014-04,16.547,
2014-05,14.954,
2014-06,13.807,
2014-07,20.035,
2014-08,16.311,
2014-09,11.344,
2014-10,12.293,
2014-11,11.602,
2014-12,14.545,
