"",BBK01.OEHB10U,BBK01.OEHB10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:34,
2002-01,0.368,
2002-04,0.361,
2002-07,0.357,
2002-10,0.349,
2003-01,0.331,
2003-04,0.334,
2003-07,0.328,
2003-10,0.321,
2004-01,0.328,
2004-04,0.308,
2004-07,0.303,
2004-10,0.298,
2005-01,0.310,
2005-04,0.303,
2005-07,0.293,
2005-10,0.285,
2006-01,0.301,
2006-04,0.291,
2006-07,0.278,
2006-10,0.261,
2007-01,0.266,
2007-04,0.266,
2007-07,0.267,
2007-10,0.254,
2008-01,0.277,
2008-04,0.289,
2008-07,0.287,
2008-10,0.281,
2009-01,0.300,
2009-04,0.318,
2009-07,0.284,
2009-10,0.255,
2010-01,0.275,
2010-04,0.271,
2010-07,0.263,
2010-10,0.241,
2011-01,0.277,
2011-04,0.274,
2011-07,0.262,
2011-10,0.250,
2012-01,0.273,
2012-04,0.283,
2012-07,0.286,
2012-10,0.248,
2013-01,0.271,
2013-04,0.265,
2013-07,0.262,
2013-10,0.228,
2014-01,0.241,
2014-04,0.237,
2014-07,0.225,
