"",BBK01.OEXB15Q,BBK01.OEXB15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:41,
2002-01,0.148,
2002-04,0.144,
2002-07,0.148,
2002-10,0.140,
2003-01,0.144,
2003-04,0.143,
2003-07,0.138,
2003-10,0.135,
2004-01,0.132,
2004-04,0.127,
2004-07,0.124,
2004-10,0.060,
2005-01,0.059,
2005-04,0.056,
2005-07,0.055,
2005-10,0.054,
2006-01,0.052,
2006-04,0.054,
2006-07,0.050,
2006-10,0.056,
2007-01,0.053,
2007-04,0.053,
2007-07,0.050,
2007-10,0.049,
2008-01,0.047,
2008-04,0.047,
2008-07,0.049,
2008-10,0.043,
2009-01,0.043,
2009-04,0.041,
2009-07,0.042,
2009-10,0.035,
2010-01,0.034,
2010-04,0.031,
2010-07,0.033,
2010-10,0.030,
2011-01,0.027,
2011-04,0.027,
2011-07,0.027,
2011-10,0.028,
2012-01,0.028,
2012-04,0.029,
2012-07,0.029,
2012-10,0.029,
2013-01,0.027,
2013-04,0.028,
2013-07,0.027,
2013-10,0.025,
2014-01,0.024,
2014-04,0.026,
2014-07,0.027,
