"",BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:31,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,6.029,
1992-07,9.044,
1992-10,9.044,
1993-01,-1.885,
1993-04,-1.885,
1993-07,-1.885,
1993-10,-1.885,
1994-01,-7.028,
1994-04,-7.028,
1994-07,-7.028,
1994-10,-7.028,
1995-01,-25.163,
1995-04,-25.163,
1995-07,-25.239,
1995-10,-25.163,
1996-01,-24.481,
1996-04,-24.506,
1996-07,-24.481,
1996-10,-24.481,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-0.017,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-0.117,
1998-10,-0.024,
1999-01,8.982,
1999-04,11.000,
1999-07,12.000,
1999-10,12.000,
2000-01,14.988,
2000-04,14.869,
2000-07,14.000,
2000-10,11.908,
2001-01,24.161,
2001-04,28.380,
2001-07,30.393,
2001-10,24.174,
2002-01,23.642,
2002-04,29.589,
2002-07,32.007,
2002-10,35.917,
2003-01,22.416,
2003-04,25.857,
2003-07,19.141,
2003-10,32.624,
2004-01,63.055,
2004-04,62.459,
2004-07,47.827,
2004-10,68.446,
2005-01,34.855,
2005-04,34.797,
2005-07,13.231,
2005-10,37.691,
2006-01,41.951,
2006-04,44.281,
2006-07,23.915,
2006-10,61.867,
2007-01,61.997,
2007-04,53.518,
2007-07,46.560,
2007-10,28.123,
2008-01,-145.540,
2008-04,75.475,
2008-07,127.066,
2008-10,35.343,
2009-01,2.851,
2009-04,31.511,
2009-07,86.829,
2009-10,-99.190,
2010-01,56.158,
2010-04,22.978,
2010-07,78.407,
2010-10,71.472,
2011-01,37.964,
2011-04,33.158,
2011-07,-34.912,
2011-10,39.791,
2012-01,39.225,
2012-04,45.672,
2012-07,-83.898,
2012-10,45.535,
2013-01,82.654,
2013-04,77.904,
2013-07,-125.750,
2013-10,25.710,
2014-01,76.260,Provisional value
2014-04,77.438,Provisional value
2014-07,78.206,Provisional value
2014-10,-4.401,Provisional value
